id;name;type;foundation_date;architect;status;address;short_description;dedications;lat;lon
;;;;;;;;;;
17271;Собор Илии Пророка;церковь;1807;1990-е: Яскорский Д. С. – интерьеры, внутренний/внешний декор (интерьер);действ.;Архангельская обл., г. Архангельск, ул. Ильинская, 10;Кирпичный кладбищенский храм с отдельно стоящей трехъярусной колокольней под шпилем, сооруженный в 1807-1809 на средства купца И. П. Никонова. Двусветный одноглавый четверик с двухэтажной трапезной, пристроенной в 1845, в северной части которой устроен Скорбященский придел. Практически не закрывался.;"Илии Пророка; Иконы Божией Матери Всех Скорбящих Радость";64.529816;40.582604
21697;Часовня Иконы Божией Матери Живоносный Источник на Вассиановом источнике;часовня;;2014: Бодэ А. Б.;действ.;Архангельская обл., Каргопольский р-н, ур. Спасская Пустынь (9-й км ш. Шелоховская-Ошевенск, 3 км от д. Озерки);Деревянная надкладезная часовня-сень построена по проекту А. Боде над источником неподалеку от места, где находилась бывшая Спасская пустынь Ошевенского монастыря. Источник назван Вассиановым в память об основателе пустыни старце Вассиане и вместе с часовней освящён 3 мая 2014.;Иконы Божией Матери Живоносный Источник;61.878628;38.966342
17005;Часовня Николая Чудотворца в Аверкиевской;часовня;;нет данных;сохр.;Архангельская обл., Плесецкий р-н, д. Аверкиевская;"Деревянная рубленная клётская часовня, крытая тёсом. Построена у почитаемого источника. Была приписана к Пятницкой церкви Кенорецкого погоста. В советское время закрыта, в 2009 силами организации ""Общее дело"" проведены аварийные работы (ремонт кровли и др.).";Николая Чудотворца;62.112555;38.955460
16356;Церковь Николая Чудотворца в Азаполье;церковь;1605;нет данных;сохр.;Архангельская обл., Мезенский р-н, с. Азаполье;Деревянная церковь, сооруженная по храмозданной 1878 и освященная в 1890. Пятиглавый (?) храм с колокольней, обшитый тесом. Закрыта не позже 1930-х, капитально перестроена, используется как клуб.;Николая Чудотворца;65.289683;45.176425
16357;Часовня Илии Пророка в Азаполье;часовня;2010;нет данных;действ.;Архангельская обл., Мезенский р-н, с. Азаполье;Деревянная часовня простой архитектуры, построенная в 2010-2011 на средства местных жителей по инициативе совета ветеранов.;Илии Пророка;;
14716;Церковь Рождества Пресвятой Богородицы в Усть-Пуе;церковь;XV в.;нет данных;сохр.;Архангельская обл., Шенкурский р-н, д. Аксеновская;"Деревянная однопрестольная церковь, обшитая тёсом. Построена в 1794-1795, позже ремонтировалась. Четверик с пятигранным алтарём и небольшой трапезной, завершался ""кровлей дуговой на два ската"", с одной главой. Закрыта не позже 1930-х, венчания сломаны, устроена общая двускатная кровля. Пустует, требует ремонта.";Рождества Пресвятой Богородицы;61.739054;42.538147
14717;Церковь Рождества Христова в Усть-Пуе;церковь;не позже XVI в.;нет данных;сохр.;Архангельская обл., Шенкурский р-н, д. Аксеновская;Деревянная двухэтажная церковь, обшитая тёсом. Построена в 1769, на нынешнее место перевезена в 1875-1877. Основной объём - двусветный четверик, первоначально имевший шатровое завершение, с широким пятигранным алтарём и трапезной, над трапезной поставлена восьмигранная колокольня под куполом. Вверху престол Варлаама Важеского (до 1870-х там же имелся Власьевский престол), внизу Христорождественский. Венчание основного объёма разобрано. Пустует, требует ремонта.;"Рождества Христова; Власия, епископа Севастийского; Варлаама Важского";61.738713;42.538136
18519;Церковь Николая Чудотворца в Андричевской;церковь;1851;нет данных;сохр.;Архангельская обл., Вельский р-н, д. Андричевская;Деревянная церковь, обшитая тесом. Сооружена в 1851-1858 в дальней деревне пуйского прихода, в 1894 выделена в отдельный приход. Четверик с алтарем и трапезной, с отдельно стоящей колокольней. Закрыта не позже 1930-х, венчание сломано. В 2012 отреставрирована колокольня, намечено ремонт самого храма.;Николая Чудотворца;61.521108;42.005703
16322;Голгофо-Распятский скит Спасо-Преображенского Соловецкого монастыря;монастырь;1713;нет данных;действ.;Архангельская обл., Приморский р-н, Соловецкие острова, о. Анзерский, ур. Голгофо-Распятский скит;Скит на вершине 60-метрового холма Голгофы устроен в 1713 прп. Иовом (в схиме Иисусом) Анзерским, но в 1723 приписан к Анзерскому скиту и опустел, возобновлён и отстроен в камне в кон. 1820-х архим. Досифеем. После создания Соловецкого лагеря использовался как больничный стационар, был известен крайне тяжёлыми условиями содержания заключенных. После закрытия лагеря постройки заброшены. Восстановлен в 1999.;;65.146194;36.039555
16324;Церковь Воскресения Христова на кладбище Голгофо-Распятского скита Спасо-Преображенского Соловецкого монастыря;церковь;1835;;действ.;Архангельская обл., Приморский р-н, Соловецкие острова, о. Анзерский, ур. Голгофо-Распятский скит;Небольшая деревянная церковь, построенная в Голгофо-Распятском скиту в 1715, а в 1827, перед постройкой каменной, перенесенная к подножию Голгофы как кладбищенская часовня. В 1835 освящена как храм. Двусветный четверик, завершенный малым восьмериком, с пятигранным алтарем и папертью. В 1920-1930-х использовалась для содержания заключенных. К 1980-м в аварийном состоянии, восстановлена в 1995-1999.;Воскресения Христова;65.146267;36.037559
16323;Церковь Распятия Христова в Голгофо-Распятском скиту Спасо-Преображенского Соловецкого монастыря;церковь;1715;2006-2008: Миронов М. Е. – интерьеры, внутренний/внешний декор (иконы);действ.;Архангельская обл., Приморский р-н, Соловецкие о-ва, о. Анзерский, ур. Голгофо-Распятский скит;Кирпичный храм, сооружённый в 1827-1830 архим. Досифеем. В трапезной Успенский придел. Двусветный четверик, увенчанный пятью ярусными главками, с полукруглой апсидой, трапезной и колокольней, с декором в стиле классицизма. С западной стороны к церкви прилегает небольшой двухэтажный корпус келий. В 1920-1930-х занята под лагерную больницу, затем заброшена. Реставрационные работы начаты в 1990-х, освящена после их окончания в 2008.;"Распятия Христова; Успения Пресвятой Богородицы";65.146718;36.039727
8015;Троицкий Анзерский скит Спасо-Преображенского Соловецкого монастыря;монастырь;нач. XVII в.;нет данных;действ.;Архангельская обл., Приморский р-н., Соловецкие острова, о. Анзерский, ур. Троицкий скит;Скит при Соловецком монастыре был образован на острове Анзер преп. Елезаром. В 1630 скит получил самостоятельность, во время церковной смуты за поддержку мятежных монахов скит был разорен. Восстановлен в 1676 и вновь передан в подчинение Соловецкого монастыря в 1683. Закрыт в 1924, до 1939 в скиту размещалось Анзерское отделение СЛОН. В 1960-х скит передан в ведение Соловецкого музея-заповедника. С 2002 начато возрождение скита.;;65.158881;35.973845
8016;Церковь Троицы Живоначальной в Троицком Анзерском скиту Спасо-Преображенского Соловецкого монастыря;церковь;1621;;действ.;Архангельская обл., Приморский р-н., Соловецкие острова, о. Анзерский, ур. Троицкий скит;Каменная церковь с Михайловским и Знаменским приделами, построена в псевдорусском по проекту арх. Введенского. К церкви примыкает двухэтажный братский корпус.;"Троицы Живоначальной; Иконы Божией Матери Знамение; Михаила Малеина";65.159023;35.973855
23068;Часовня Елеазара Анзерского в Елеазаровой пустыни;часовня;нач. XVII в.;нет данных;действ.;Архангельская обл., Приморский р-н, Соловецкие острова, о. Анзерский;Елеазарова пустынь — место жительства будущего основателя Троицкого скита, после поселения его на о. Анзер в начале XVII в. На месте келии преподобного установлен крест, в 1825 построена деревянная часовня. В советское время пустынь разорена, от часовни остался нижний венец сруба. В 2006 на старом фундаменте выстроена новая деревянная часовня.;Елеазара Анзерского;65.149081;36.019106
17732;Часовня Иконы Божией Матери Знамение у Троицкого Анзерского скита;часовня;сер. XIX в.;нет данных;действ.;Архангельская обл., Приморский р-н, Соловецкие острова, о. Анзер, ур. Троицкий скит;Деревянная часовня над ручьем у Троицкого скита. Четверогранный сруб, перекрытый невысокой кровлей с главкой. Восстановлена в 2008 по образцу старой часовни, существовавшей до 1-й пол. ХХ в.;Иконы Божией Матери Знамение;65.158432;35.975191
23067;Часовня Покрова Пресвятой Богородицы в Капорской губе;часовня;сер. XIX в.;нет данных;действ.;Архангельская обл., Приморский р-н, Соловецкие острова, о. Анзер, Капорская губа;Восьмигранная одноглавая часовня восстановлена в исторических архитектурных формах на месте уничтоженной в советское время часовни.;Покрова Пресвятой Богородицы;;
27458;Часовня Сергия Радонежского у Троицкго скита;часовня;1990-е;нет данных;действ.;Архангельская обл., Приморский р-н, Соловецкие острова, о. Анзер, 200 м ЮЗ Троицкий скит;Деревянная часовня - клеть под двухскатной крышей с маленькой главкой. Построена примерно в 1990-е. В 2002-2003 рядом построены кельи, образовав небольшой поселок.;Сергия Радонежского;65.157877;35.968106
3938;Троицкий Антониево-Сийский мужской монастырь;монастырь;1520;2000-е: Анисимова Г. И. – реставрация (монастырский корпус(корпуса));действ.;Архангельская обл., Холмогорский р-н, д. Антониево-Сийский монастырь;;;63.552789;41.555389
