id;name;type;foundation_date;architect;status;address;short_description;dedications;lat;lon
;;;;;;;;;;
21054;Церковь Михаила Архангела в Алешенке;церковь;1815;нет данных;сохр.;Брянская обл., Трубчевский р-н, с. Алешенка, кладб.;"Кирпичная, первоначально двухпрестольная церковь была выстроена в 1815-1818 в стиле позднего классицизма на средства прихожан. Имела придел Флора и Лавра; в 1879 расширена Георгиевским приделом. К основному бесстолпному кубическому объёму с перекрытой конхой крупной полукруглой апсидой примыкают пониженные приделы с такими же выступами и коробовыми сводами и протяжённая одноэтажная трапезная с крупными окнами и пристроенной в 1871 трёхъярусной колокольней над папертью. Закрыта в 1937. В настоящее время полуразрушенное здание бесхозно, завершения утрачены.";"Михаила Архангела; Флора и Лавра; Георгия Победоносца";52.479264;33.498143
21055;Молитвенная комната Михаила Архангела в Алешенке;часовня;1960-е;нет данных;действ.;Брянская обл., Трубчевский р-н, с. Алешенка, ул. Хараборкина, д. 3;Молитвенная комната была организована в 1960-х, когда в село была привезена плащаница Господня. С 1997 располагается в одном из помещений деревянного жилого дома. Приписана к Духовской церкви Сельца.;Михаила Архангела;52.480574;33.491259
31947;Церковь Иконы Божией Матери Владимирская в Алешинке;церковь;1709;нет данных;действ.;Брянская обл., Навлинский р-н, с. Алешинка, ул. Партизанская, 1;Кирпичная однопрестольная церковь с Алексиевским приделом построена в 2013-2015 на средства уроженца села А. Сороченкова на месте разрушенной в годы оккупации, также кирпичной, возведённой в 1837 и имевшей Георгиевский и Никольский приделы. К завершённому световым восьмигранником с крупной луковичной главой квадратному в плане основному объёму примыкают гранёная апсида, боковые ризалиты и короткий переход к двухъярусной шатровой колокольне. Освящена 21 июня 2015.;"Иконы Божией Матери Владимирская; Алексия, человека Божия; Николая Чудотворца; Георгия Победоносца";52.848245;34.392299
31950;Часовня Успения Пресвятой Богородицы в Алешинке;часовня;нач. 2020-х;нет данных;действ.;Брянская обл., Навлинский р-н, с. Алешинка, ул. Партизанская, кладб.;Каменная входная часовня построена в 2021 при входе на сельское кладбище на месте разрушенной одноимённой церкви. Восьмигранный в плане световой объём украшен пилястрами вдоль рёбер, перекрыт куполом и завершён пирамидой убывающих по размеру бессветных купольных восьмигранников с луковичной главкой.;Успения Пресвятой Богородицы;52.850635;34.383383
29178;Церковь Афанасия и Кирилла, патриархов Александрийских, в Алешковичах;церковь;не позже 1595;нет данных;действ.;Брянская обл., Суземский р-н, с. Алешковичи, ул. Центральная;"Деревянная трёхпрестольная церковь с чертами украинского барокко и раннего классицизма построена в 1793 вместо прежней. Имела Георгиевский и Флоро-Лаврский приделы. В кон. 1890-х построена отдельно стоявшая высокая каменная колокольня в стиле эклектики. Взорвана в 1943. На месте храма выстроен клуб, разобранный в сер. 1980-х. Приход возобновлён в 2014; для служб приспособлено деревянное здание, прежде использовавшееся под школу и детсад. С 2016 на средства уроженцев и жителей села на прежнем месте строится кирпичная церковь в формах, отдалённо напоминающих прежние: ""восьмерик на четверике"" с протяжённой алтарной частью, боковыми выступами, короткой трапезной, колокольней и крыльцом с поддерживаемым четырьмя колоннами треугольным фронтоном.";"Афанасия и Кирилла, патриархов Александрийских; Флора и Лавра; Георгия Победоносца";52.229628;34.185099
31951;Церковь Покрова Пресвятой Богородицы в Алтухово;церковь;сер. 1990-х;нач. XXI в.: Свиридов О.;действ.;Брянская обл., Навлинский р-н, пос. Алтухово, ул. Вокзальная, 38А;Деревянная двухпрестольная церковь построена в нач. XXI в. по проекту её настоятеля иерея О. Свиридова. Главный престол перенесён из устроенного в сер. 1990-х в расположенной рядом бывшей жилой избе временного храма. Придел Иоанна Богослова. Крупное двухэтажное оштукатуренное здание необычной формы завершено двумя световыми купольными восьмигранниками с луковичной главой над одним из них и двумя угловыми главками меньших размеров. Колокольня расположена отдельно. Является центральным зданием комплекса, в который также входят две часовни и богадельня.;"Покрова Пресвятой Богородицы; Иоанна Богослова";52.676668;34.364606
31952;Часовня Николая II Царя-страстотерпца в Алтухово;часовня;2000-е;2000-е: Свиридов О.;действ.;Брянская обл., Навлинский р-н, пос. Алтухово, ул. Вокзальная, 38А;"Деревянная входная часовня построена в 2000-х по проекту настоятеля Покровской церкви иерея О. Свиридова. Входит в состав Покровского комплекса. Необычной формы рубленное ""в обло"" двухэтажное здание наподобие древнерусского терема завершают крупная шлемовидная глава и насколько пар миниатюрных луковичных главок. Используется для утренних молитв.";Николая II Царя-страстотерпца;52.676575;34.364708
31953;Часовня Олега Брянского в Алтухово;часовня;2000-е;2000-е: Свиридов О.;действ.;Брянская обл., Навлинский р-н, пос. Алтухово, ул. Вокзальная, 38А;"Деревянная часовня, соединённая со звонницей Покровского комплекса, построена в 2000-х по проекту настоятеля Покровской церкви иерея О. Свиридова. Рубленный ""в обло"" бессветный куб под четырёхскатной железной кровлей завершают шатёр с небольшими оконцами и поставленная на пьедестал луковичная главка.";Олега Брянского;52.676652;34.364799
17660;Церковь Николая Чудотворца в Ардони;церковь;не позже 1781;нет данных;действ.;Брянская обл., гор. округ г. Клинцы, с. Ардонь, ул. Стахановская, 7;Кирпичная с деревянным завершением церковь построена в 1856 вместо сгоревшей деревянной. Крестообразный в плане храм состоит из увенчанного массивной луковичной главой на низком глухом восьмиграннике четверика и крытых двускатными кровлями и завершённых фронтонами пониженных прямоугольных объёмов апсиды, боковых прирубов и трапезной с небольшим двухколонным портиком, над которой возвышается трёхъярусная колокольня. Была закрыта с 1938 по 1942, использовалась под кузнечную мастерскую. С 1942 действует. Сохранилось старое внутреннее убранство.;Николая Чудотворца;52.733828;32.308745
