id;name;type;foundation_date;architect;status;address;short_description;dedications;lat;lon
;;;;;;;;;;
9581;Церковь Николая Чудотворца в Алексеевском;церковь;;нет данных;сохр.;Ивановская обл., Ильинский р-н, с. Алексеевское;Кирпичная церковь в стиле барокко, построенная в 1790-1806. К основному объёму, завершенному высоким восьмериком под куполом с люкарнами, примыкают боковые Рождество-Богородицкий и Михаило-Архангельский приделы. Трапезная с приделами Павла Латрского и Смоленской Богоматери и колокольня, вероятно, были перестроены в кон. XIX в. Закрыта не позже 1930-х, трапезная и колокольня сломаны. В настоящее время заброшена.;"Николая Чудотворца; Иконы Божией Матери Смоленская; Михаила Архангела; Павла Латрийского; Рождества Пресвятой Богородицы";56.891917;39.784650
3880;Церковь Иоакима и Анны в Алексино;церковь;не позже начала XVIII в.;нет данных;сохр.;Ивановская обл., Савинский р-н, с. Алексино;Деревянная церковь известна с 1731. Каменная церковь с приделом Сергия Радонежского построена в 1808. В 1849-1852 расширена, в трапезной устроен тёплый Трехсвятительский придел. Храм в стиле классицизма с барочными принципами композиции здания. Ярусная колокольня соединена с основным объемом храма трапезной, построенной в 1849-52 годах.;"Иоакима и Анны; Трех Святителей Великих; Сергия Радонежского";56.570290;41.611788
3879;Церковь Рождества Пресвятой Богородицы в Алексино;церковь;не позже начала XVIII в.;нет данных;сохр.;Ивановская обл., Савинский р-н, с. Алексино;Каменная пятиглавая трёхпрестольная церковь с многоярусной колокольней, построена в 1813 вместо сгоревшей в 1802 древней деревянной Рождественской церкви. Приделы: Усекновения Главы Иоанна Предтечи и Троицкий.;"Рождества Пресвятой Богородицы; Усекновения Главы Иоанна Предтечи; Троицы Живоначальной";56.570385;41.610072
8000;Церковь Введения Пресвятой Богородицы во Храм в Андреевском;церковь;не позже XVII в.;нет данных;сохр.;Ивановская обл., Приволжский р-н, с. Андреевское;Каменная двухпрестольная церковь с Никольским приделом, построена в стиле барокко на средства прихожан вместо старой деревянной (1699). В советское время закрыта, заброшена.;"Введения Пресвятой Богородицы во Храм; Николая Чудотворца";57.331632;41.362660
4814;Церковь Николая Чудотворца в Антилохово;церковь;;нет данных;сохр.;Ивановская обл., Савинский р-н, с. Антилохово, ул. Мира;Кирпичная церковь в стиле классицизма. Типичный памятник суздальской школы зодчества рубежа XVIII-XIX вв. Летний храм прихода, построен в 1823. Одноглавый трёхсветный четверик под четырёхскатной крышей, с небольшой трапезной и трёхъярусной шатровой колокольней в связи. Внешне полностью отреставрирован, богослужения в тёплом храме прихода.;Николая Чудотворца;56.509716;41.137455
4815;Церковь Феодора Стратилата в Антилохово;церковь;;нет данных;действ.;Ивановская обл., Савинский р-н, с. Антилохово, ул. Мира;Кирпичная церковь архаичного типа, характерный памятник суздальской школы культового зодчества нач. XIX в. Тёплый храм прихода, построенный в 1804. Вытянутый четверик под двухскатной крышей, увенчанный небольшой главкой по центру конька, с пятигранной апсидой, без колокольни.;Феодора Стратилата;56.509943;41.137713
9625;Церковь Иконы Божией Матери Казанская в Антушково;церковь;кон. 2000-х;нет данных;действ.;Ивановская обл., Ильинский р-н, д. Антушково;Небольшая деревянная церковь со звонницей и шатровым куполом. Строится в Антушково с кон. 2000-х.;Иконы Божией Матери Казанская;56.933878;39.536866
4370;Церковь Иконы Божией Матери Казанская в Аньково;церковь;не позже нач. XVIII в.;нет данных;сохр.;Ивановская обл., Ильинский р-н, с. Аньково;Зимний храм прихода, построенный в 1871 к северо-востоку от летнего. Большая кирпичная четырёхстолпная однокупольная церковь в стиле эклектики с приземистыми пропорциями. Боковые приделы Михаило-Архангельский и Никольский. Закрыта не позже 1930-х. Занята сельским клубом, поддерживается в порядке.;"Иконы Божией Матери Казанская; Николая Чудотворца; Михаила Архангела";56.943057;39.950818
6127;Церковь Сергия Радонежского в Аньково;церковь;;нет данных;действ.;Ивановская обл., Ильинский р-н, с. Аньково, ул. Советская, д. 63;Небольшая кирпичная одноглавая церковь на сельском кладбище на южной окраине села. Построена в 1860, декор в стиле псевдоготики. Закрыта не позже 1930-х, венчания сломаны, использовалась в хозяйственных целях. Возвращена верующим в 1990-х, отремонтирована в упрощенных формах.;Сергия Радонежского;56.937700;39.957000
