id;name;type;foundation_date;architect;status;address;short_description;dedications;lat;lon
;;;;;;;;;;
30768;Часовня Александра Невского в Долине Героев;часовня;;2020: Матвеев Б. Ю.;действ.;Респ. Карелия, Питкярантский р-н, мемориал Долина Героев;;Александра Невского;61.658206;31.528250
28855;"Часовня Геннадия и Никифора Важеозерских на 332-м км автодороги Р-21 ""Кола""";часовня;ок. 2010;нет данных;действ.;"Респ. Карелия, Олонецкий р-н, 332-й км автодороги Р-21 ""Кола""";Деревянная дощатая часовня-сень, построенная на повороте с трассы к Важеозерскому монастырю.;Геннадия и Никифора Важеозерских;61.328746;33.258491
12444;Часовня Василия Великого на 8-м км автодороги 86К-269;часовня;2010;2010: Осипов И. М.;действ.;Респ. Карелия, Пряжинский р-н, ур. 8-й км автодороги 86К-269;"Деревянная клетская часовня с четырёхгранной звонницей построена в 2010 в рамках проекта ""Дружба русско-польская"". Авторами проекта являются представители двух стран: России - В. Попов, житель Петрозаводска, и Польши - Я. Хойна, житель Кракова. Освящена 9 окт. 2010.";Василия Великого;61.946269;33.410267
29332;Часовня Преображения Господня в Алекке;часовня;XIX в. (?);нет данных;действ.;Респ. Карелия, Пряжинский р-н, д. Алекка, ул. Песчаная, напротив д. 5;Деревянная обшитая тёсом часовня под двускатной крышей с небольшой двускатной надстройкой-постаментом для венчающего креста сооружена в 2012 вместо обветшавшей предшествующей. Освящена 20 июля 2012.;Преображения Господня;61.864526;33.251213
33387;Никольский Адриано-Андрусовский мужской монастырь;монастырь;нач. XVI в.;нет данных;действ.;Респ. Карелия, Олонецкий р-н, ур. Андрусово;Монастырь основан учеником прп. Александра Свирского прп. Адрианом Ондрусовским в нач. XVI в. на каменном полуострове в восточной части Ладожского озера. В 1687 преобразован в женскую обитель, просуществовавшую до 1710-х. К сер. XVIII в. монастырь обезлюдел и был закрыт Екатерининской реформой 1764. Возобновлен указом от 17 сент. 1814, средства на восстановление пожертвовал купец А. С. Сергеев. К сер. века сформирован основной монастырский комплекс. После революции закрыт, территория преобразована в трудовую артель, в 1937-1938 взорваны храмы. В советские годы на территории монастыря действовал совхоз им. Володарского, располагалась база отдыха. Во время войны в 1941-1944 в уцелевших зданиях размещался финский командный пункт. Возрождение начато в нач. 2010-х, открыт решением Священного Синода 19 мар. 2014, восстанавливается.;;60.993669;32.596768
33393;Церковь Благовещения Пресвятой Богородицы в Никольском Адриано-Андрусовском монастыре;церковь;не ранее 2013;нет данных;действ.;Респ. Карелия, Олонецкий р-н, ур. Андрусово;Домовая Введенская церковь устроена перед возобновлением монастыря в одном из деревянных братских корпусов. Позже переосвящена в честь Благовещения.;"Благовещения Пресвятой Богородицы; Введения Пресвятой Богородицы во Храм";60.993473;32.597052
33388;Церковь Николая Чудотворца в Никольском Адриано-Андрусовском монастыре;церковь;не позже нач. XVI в.;нет данных;действ.;Респ. Карелия, Олонецкий р-н, ур. Андрусово, ул. Андрусовская, 1;Каменная однопрестольная холодная церковь устроена в нач. XVI в. Представляла собой прямоугольное в плане здание, одноглавый восьмерик на четверике. Переосвящалась 9 мая 1703 после разграбления монастыря шведами. После закрытия монастыря в 1764 некоторое время была приходской, приписанной к Ильинскому приходу, обветшала. В 1808-1809 на средства купцов С. Ф. Чусова и А. С. Сергеева проведен капитальный ремонт: сделано отопление, выстроена шатровая колокольня над папертью, деревянное крыльцо. Освящена 16 июля 1809. В 1840 под колокольней устроена трапезная, позднее перестроена алтарная часть. Закрыта в 1929, снесена в кон. 1930-х. После восстановления монастыря в 2014, 2 июля 2017 заложена деревянная однопрестольная церковь с шатровой колокольней. Освящена 8 сент. 2022.;Николая Чудотворца;60.994014;32.597014
33390;Часовня Адриана Ондрусовского в Никольском Адриано-Андрусовском монастыре;часовня;не позже сер. XVI в.;нет данных;действ.;Респ. Карелия, Олонецкий р-н, ур. Андрусово;Деревянная памятная часовня-сень с ракой прп. Адриана устроена в 2013 на месте разрушенного Введенского собора, выстроенного на месте часовни-усыпальницы прп. Адриана Ондрусовского.;Адриана Ондрусовского;60.993865;32.596677
21644;Часовня Сошествия Святого Духа в Ахпойле;часовня;;2007: Скопин В. А. – реставрация;действ.;Респ. Карелия, Пряжинский р-н, д. Ахпойла;Предполагаемое время возведения - XVI век. Расположена на окраине деревни у кладбищенской рощи. Первоначально это была двухчастная клетская постройка, состоявшая из молельного помещения и притвора. Во 2-й пол. XIX в. преобразована в трёхчастную (молельня, трапезная, притвор). Над притвором надстроили четырёхгранную звонницу. Была приписана к Успенской церкви в Сямозере. В 1973-1974, в ходе проведения реставрационных работ, поздняя пристройка была разобрана. На сегодняшний день представляет собой двухчастную клетскую часовню, состоящую из молельни и притвора под самостоятельными двускатными крышами. Молельня увенчана выполненной из цельного дерева главкой с крестом. Стены основного сруба имеют повалы, сохранились волоковые окна. Кровельное покрытие основного объёма выполнено в виде сплошного бревенчатого наката, по которому уложена двухслойная тёсовая гвоздевая кровля, крыша притвора - безгвоздевая тёсовая по курицам и потокам. Последние реставрационные работы проводились в 2007.;Сошествия Святого Духа;61.901139;33.331319
23260;Часовня Антипы, епископа Пергамского, в Батовой;часовня;;нет данных;сохр.;Респ. Карелия, Медвежьегорский р-н, д. Батова;Деревянная часовня, обшитая тёсом. Входила в Шунгский приход, датируется кон. XIX в. Восьмигранная постройка, завершённая невысоким шатром с луковичной главкой. Заперта.;Антипы, епископа Пергамского;62.551724;35.032925
13209;Церковь Иконы Божией Матери Казанская в Белой Горе;церковь;не позже 1-й пол. XIX в.;;сохр.;респ. Карелия, Кондопожский р-н, д. Белая Гора;Небольшая кирпичная церковь, построенная в 1853-1856 в русско-византийском стиле по проекту К. А. Тона. Одноглавый четверик с небольшой трапезной, над которой поставлен ярус звона шатровой колокольни. Закрыта не позже 1930-х, в настоящее время заброшена. Воссоздан приход, в планах строительство моленного дома.;Иконы Божией Матери Казанская;62.583467;33.955664
20049;Церковь Зосимы и Савватия Соловецких в Беломорске;церковь;сер. 2000-х;нет данных;действ.;респ. Карелия, Беломорский р-н, г. Беломорск, ул. Солунина;Деревянная церковь, обшитая тесом. Освящена в 2006. Крестообразная в плане пятиглавая постройка с колокольней.;Зосимы и Савватия Соловецких;64.531936;34.760161
20048;Церковь Николая Чудотворца в Беломорске;церковь;1993;нет данных;действ.;респ. Карелия, Беломорский р-н, г. Беломорск, ул. Поморская, 10;Церковь устроена в 1993 в приспособленном деревянном здании постройки нач. ХХ в., внешне выделена крестом.;Николая Чудотворца;64.529100;34.762135
25686;Церковь Александра Свирского в Березовке;церковь;2014;2015-2018: Кабанова И. Р.;действ.;Респ. Карелия, Кондопожский р-н, пос. Березовка, ул. Новая;Деревянная однопрестольная клетская церковь построена в 2017 на пожертвования по проекту арх. И. Соболевой. Высокий четверик под клинчатой кровлей, с притвором и колокольней. Строительство здания в целом завершено.;Александра Свирского;62.233487;34.169945
15030;Часовня Березовского скита;часовня;не позже XVIII в.;нет данных;сохр.;респ. Карелия, Медвежьегорский р-н, ур. Березовка (8 км С д. Данилово);Единственная постройка, уцелевшая от множества старообрядческих скитов, располагавшихся вокруг Выгорецкой обители, и закрытых правительством в 1850-х. Состоит из двух срубов, перекрытых общей двускатной кровлей.;;63.032981;35.659442
