id;name;type;foundation_date;architect;status;address;short_description;dedications;lat;lon
;;;;;;;;;;
24173;Часовня на 57-м км автодороги Р-600 Ярославль-Иваново;часовня;;нет данных;действ.;Костромская обл., Костромской р-н, ур. 57-й км автодороги Р-600 Ярославль-Иваново (1 км З д. Песочное);;;57.696385;40.658823
23753;Церковь Петра и Павла в Адищево;церковь;2007;нет данных;действ.;Костромская обл., Островский р-н, с. Адищево;Деревянная церковь во имя Покрова Богородицы построена в 2007-2009 учредителем Адищевской бумажной фабрики Д. Ю. Писаревым. Основной объём был крестообразной формы, с бочками на прирубах, на нем помещался объёмный восьмерик с шатром, увенчанным главкой. Сгорела в ночь с 17 на 18 нояб. 2017. На замену ей в 2018-2020 на средства Нины Гюльбековой и прихожан сооружена кирпичная одноглавая однопрестольная церковь, представляющая собой четверик под четырёхскатной крышей, с трёхъярусной колокольней над западным притвором. Освящена 12 дек. 2020 во имя свв. ап. Петра и Павла.;Петра и Павла;57.664759;42.148434
14481;Церковь Николая Чудотворца в Александрово;церковь;не позже 1-й пол. XVII в.;нет данных;сохр.;Костромская обл., Судиславский р-н, с. Александрово;Кирпичная церковь с такой же колокольней, построена в 1788 тщанием помещика Тюхменева с крестьянами. Основной объём храма - двухсветный четверик с полукруглой апсидой. Трапезная имеет несимметричную форму из-за южного придела Илии Пророка. В советский период утрачена колокольня и завершение церкви. Пустует, в тяжёлом состоянии.;"Николая Чудотворца; Илии Пророка";57.774950;41.712400
14388;Церковь Троицы Живоначальной в Аминево;церковь;не позже XVI в.;нет данных;сохр.;Костромская обл., Нерехтский р-н, с. Аминево;Кирпичная церковь, построенная в 1810, вероятно, при помощи помещиков Кобылиных. Здание типа восьмерик на четверике с прямоугольным алтарем и трапезной. Колокольня сооружена в 1838 на средства А. И. Кобылиной. Приделы в трапезной Феодоровской Богоматери и Екатерининский. Закрыта не позже 1930-х, разобран купол. В настоящее время пустует, большая часть сводов рухнула.;"Троицы Живоначальной; Екатерины Великомученицы; Иконы Божией Матери Феодоровская";57.340445;40.995696
14400;Часовня в Аминево;часовня;не позже XIX в.;нет данных;сохр.;Костромская обл., Нерехтский р-н, с. Аминево;Кирпичная часовня, построенная во 2-й пол. XIX в. к северу от церкви. Кубическая постройка в духе эклектики, завершенная небольшой главкой. Пустует.;;;
25307;Часовня Параскевы (Пятницы) Великомученицы в Андреевском;часовня;;нет данных;действ.;Костромская обл., Буйский р-н, д. Андреевское;Деревянная с обходной галереей двухъярусная часовня под шатровым завершением построена на Пятницком источнике, где по местному преданию была явлена икона Параскевы Пятницы и забил ключ.;Параскевы (Пятницы) Великомученицы;58.445535;41.376348
12655;Церковь Николая Чудотворца в Андреевском;церковь;не позже 1-й трети XVII в.;нет данных;сохр.;Костромская обл., Сусанинский р-н, с. Андреевское;Деревянная церковь построена взамен ветхой в 1683 по благословению Иоакима, патриарха Московского, тщанием Ильи и Стефана Заворотковых с товарищами. В 1741 храм был отстроен заново. В 1868 после пожара ремонтирован. Основной объём нынешней деревянной церкви - двусветный четверик, завершавшийся четырёхскатной кровлей с главкой. Апсида и трапезная также прямоугольные, с трёх сторон здание охвачено закрытой галереей на консолях. Закрыта не позже 1930-х, в настоящее время здание в аварийном состоянии, большая часть перекрытий обрушилась.;Николая Чудотворца;58.160714;41.296452
12656;Церковь Рождества Пресвятой Богородицы в Андреевском;церковь;не позже 1-й трети XVII в.;нет данных;сохр.;Костромская обл., Сусанинский р-н, с. Андреевское;"Кирпичная церковь в духе традиционного зодчества построена в 1770-1778 тщанием Анастасии Семеновны Жадовской взамен ветхой деревянной, построенной в 1640 по благословению Иоасафа, патриарха Московского. Основной объём храма - двусветный четверик с пятиглавым завершением и двумя апсидами, вытянутый вдоль поперечной оси. Колокольня шатровая, соединена с основным объёмом широкой трапезной с северным приделом, с запада к колокольне примыкает прямоугольная паперть. В главном храме справа был устроен придел иконы Богоматери ""Казанская"" и Анастасии Узорешительницы, в трапезной помещался придел Гавриила Архангела и Иоанна Предтечи. Закрыта не позже 1930-х, основной объём обрушился после 1976.";"Рождества Пресвятой Богородицы; Анастасии Узорешительницы; Гавриила Архангела; Иоанна Предтечи; Иконы Божией Матери Казанская";58.160425;41.296312
30865;Церковь Геннадия Любимоградского в Антропово (новая);церковь;1996;нет данных;действ.;Костромская обл., Антроповский р-н, пос. Антропово, ул. Октябрьская, 13;Новая деревянная церковь типа восьмерик на четверике с пятигранным алтарём и трапезной. Восьмерик увенчан пятиглавием, над западным входом возвышается небольшая открытая восьмигранная звонница. Чин освящения закладного камня совершён 26 июня 2010, а 13 июля 2016 состоялось великое освящение храма.;Геннадия Любимоградского;58.396747;43.005882
