ID;Название;Тип постройки;Дата основания;Архитектор;Статус;Современный адрес;Краткое описание;Посвящение;lat;lon
32052;Часовня Георгия Победоносца на мемориале Партизанская Слава;часовня;2016;2016: Бухаев В. Б.;действ.;"Ленинградская обл., Лужский р-н, 139-й км автодороги Р-23 ""Псков""";"Кирпичная входная часовня построена на мемориале ""Партизанская Слава"" в 2016 на средства семьи благотворителя О. С. Коваля. Четверик с шатровым завершением увенчан главкой. Освящена 14 сент. 2016.";Георгия Победоносца;58.788111;29.882255
28766;"Часовня Александра Свирского на 254-м км автодороги Р-21 ""Кола""";часовня;2006;нет данных;действ.;"Ленинградская обл., Лодейнопольский р-н, 254-й км автодороги Р-21 ""Кола""";"Высокий часовенный столп, воздвигнутый на автотрассе Е-105 (Р-21) ""Кола"" в год 500-летия Александро-Свирского монастыря.";Александра Свирского;60.81608;33.33552
20654;Церковь Бориса и Глеба в Агалатово;церковь;1999;1999-2001: Кожин Д. Ю.;действ.;Ленинградская обл., Всеволожский р-н, пос. Агалатово;Деревянная церковь в поселке у военного городка, сооруженная в 1999-2001. Четверик, увенчанный крестчатой бочкой с главкой, с пониженными боковыми прирубами, алтарем и трапезной, также покрытыми бочками, с небольшой звонницей над крыльцом.;Бориса и Глеба;60.214262;30.30075
17492;Скит Андрея Первозванного на Агафоновом Лугу;монастырь;1998;: Зайцев А. П. (монастырский корпус(корпуса));действ.;Ленинградская обл., Всеволожский р-н, Колтушская вол., вблизи д. Коркино, массив Генетика на Агафоновом лугу;Скит Александро-Невской лавры, строящийся с 1998 в урочище, у издавна почитаемого валуна, по инициативе В. М. Елгина (в иночестве - монаха Серафима), в 1990-х зарегистрировавшего тут фермерское хозяйство. Сооружены два деревянных храма, келейные корпуса, колокольня (2005). Имеются планы строительства каменного собора. Братия немногочисленна.;;59.938585;30.76733
17494;Церковь Евгении Мученицы в скиту Андрея Первозванного;церковь;2011;2011: Зайцев А. П.;действ.;Ленинградская обл., Всеволожский р-н, Колтушская вол., вблизи д. Коркино, массив Генетика на Агафоновом лугу;Небольшая деревянная церковь, построенная в 2011 на средства И. Н. Бусырёва. Четверик, завершенный низким шатром, с врезанной в него крестчатой бочкой, с одновсходным крыльцом.;Андрея Первозванного;59.938741;30.767292
17493;Церковь Зосимы и Савватия Соловецких в скиту Андрея Первозванного;церковь;1999;;действ.;Ленинградская обл., Всеволожский р-н, Колтушская вол., вблизи д. Коркино, массив Генетика на Агафоновом лугу;Небольшая деревянная церковь, построенная в 1999-2003 попечением В. М. Елгина. Четверик, окруженный открытыми галереями, завершенный четырехскатным шатром с врезанными в него щипцами.;"Андрея Первозванного; Зосимы и Савватия Соловецких";59.938735;30.768387
25539;Церковь Василия Великого в Акуловой Горе;церковь;1998;;действ.;Ленинградская обл., Лодейнопольский р-н, д. Акулова Гора;Деревянная одноглавая однопрестольная церковь в духе северного зодчества, клеть под двускатной крышей, с апсидой, с шатровой звонницей над западной частью клети. Крыльцо - с юга. Построена петербургскими художниками Юрием и Ириной Грецкими в 1998-2000. Ими же храм расписан.;Василия Великого;60.487972;33.550983
19274;Часовня Алексия Цесаревича в Алакюля;часовня;;нет данных;действ.;Ленинградская обл., Ломоносовский р-н, д. Алакюля, ул. Родниковая, д. 1;Небольшая деревянная входная часовня. Неравногранный восьмерик, завершённый шатром с крестом. Построена ок. 2000.;Алексия Цесаревича;59.739035;29.92788
8680;Церковь Александра Невского в Александровке;церковь;1790;;действ.;Ленинградская обл., Гатчинский р-н, д. Александровка;Кирпичная церковь построена в 1790-1794 по проекту И. Е. Старова на средства А. Г. Демидова. Капитально перестроена в 1901-1906 архитектором А. А. Степановым в псевдорусском стиле - устроено пятиглавие, колокольня с шатровым верхом. Закрыта в 1936. После войны использовалась под склад ГСМ, в 1950 перенесла пожар, позже разрушены венчания. С сер. 1990-х в дни престольных праздников в церкви совершаются молебны. В 2007 зарегистрирован самостоятельный приход, в колокольне устроена временная церковь, освященная 10 мент. 2011, где по расписанию проводятся молебны.;Александра Невского;59.674203;30.131472
28686;Церковь Михаила Архангела в Гедевичах;церковь;не позже XVI в.;нет данных;действ.;Ленинградская обл., Лодейнопольский р-н, с. Алёховщина, ул. Сторожовская, 7А;Небольшая деревянная церковь, выстроенная в 1730. К квадратному в плане основному объёму, завершённому двумя убывающими глухими восьмериками с главкой, примыкают гранёная апсида и трапезная, соединяющая его с двухъярусной шатровой колокольней, к которой с запада пристроен входной тамбур. Церковь перестала действовать в 1937, внутреннее оформление утрачено. Открыта для богослужений в 1990, за несколько лет восстановлена.;Михаила Архангела;60.413432;33.851938
21361;Церковь Троицы Живоначальной в Марьино;церковь;1788;;сохр.;Ленинградская обл., Тосненский р-н, д. Андрианово;Кирпичная усадебная церковь в стиле неоготики, построенная в 1831 на средства помещицы графини С. В. Строгановой. Прямоугольная в плане постройка, с колокольней над притвором и восьмигранным куполом над центральным объемом, окруженными шпилями. Закрыта в 1936. В настоящее время заброшена, своды основного объема рухнули.;Троицы Живоначальной;59.418388;30.899155
20139;Церковь Иоанна Богослова в Аннино;церковь;1997;нет данных;действ.;Ленинградская обл., Ломоносовский р-н, пос. Аннино, ул. Садовая, 4А;Церковь устроена в переданном общине кирпичном одноэтажном здании, изначально бывшем детским садом. Перестройка начата в 1997, малое освящение совершено в 2003. Пострадала от пожара в 2008, восстановлена в 2009. Был надстроен световой четверик с четырёхскатным покрытием, пристроена невысокая колокольня с широким шатровым завершением.;Иоанна Богослова;59.773548;30.047927
21837;Церковь Александра Невского в Апраксине;церковь;2013;;действ.;Ленинградская обл., Кировский р-н, пос. Апраксин;"Кирпичная церковь, сооруженная в 2013-2014 при поддержке ОАО ""Газпром"" и освященная 25.10.2014. Сооружена в духе образцовых проектов русско-византийского стиля. Восьмигранный основной объем увенчан малым восьмериком с шатровым куполом, к нему примыкают полукруглый алтарь и притвор.";Александра Невского;59.774279;31.211882
