id;name;type;foundation_date;architect;status;address;short_description;dedications;lat;lon
;;;;;;;;;;
2023;Часовня Иконы Божией Матери Живоносный Источник на 148-м км Минского шоссе;часовня;2003;2003-2004: Васнецов Н. Б.;действ.;Московская обл., Можайский р-н, 148-й км Минского ш.;Каменная надкладезная часовня в псевдорусском стиле у истока Москвы-реки. Выстроена по инициативе директора Мосводоканала С. В. Храменкова в честь 200-летию московского водопровода. Приписана к церкви в Мокром. Отреставрирована в 2024. Освящена 24 июня 2025.;Иконы Божией Матери Живоносный Источник;55.490623;35.404714
12372;Часовня на 25-м км Симферопольского шоссе;часовня;1999;нет данных;действ.;Московская обл., адм. тер. Видное, 25-й км Симферопольского ш.;Кирпичный одноглавый часовенный столп. Установлен в 1999 на месте гибели в автокатастрофе популярного певца Шандора Ковача (1973-1998), освящён 16 марта 1999.;;55.535403;37.609812
10909;Часовня Иконы Божией Матери Смоленская на 70-м км Минского шоссе;часовня;2008;нет данных;действ.;Московская обл., адм. тер. Одинцово, 70-й км Минского ш. (1,5 км СЗ д. Чупряково);"Кирпичная одноглавая часовня приземистых пропорций, выстроенная в русском стиле. Сооружена попечением дирекции автодороги М-1 (""Беларусь""). Освящена 5 мая 2008, входит в состав мемориала в память погибших в годы Великой Отечественной войны воинов-дорожников. Приписана к церкви в Дютьково.";Иконы Божией Матери Смоленская;55.561999;36.606152
32621;Часовня Всех Святых на 76-м км автодороги М-10;часовня;2015;нет данных;действ.;Московская обл., адм. тер. Клин, ур. 76-й км автодороги М-10;Кирпичная одноглавая часовня, четверик под четырёхскатной крышей. Построена в 2015 семьей И. и С. Кулик.;Всех Святых;56.264806;36.854664
14715;Часовня Виктора Мученика на 76-м км Ярославского шоссе;часовня;2010;нет данных;действ.;Московская обл., Сергиево-Посадский р-н, 76-й км Ярославского ш.;Крупная деревянная часовня с шатровым завершением. Построена в 2010 в память губернатора Костромской обл. В. А. Шершунова и его водителя В. М. Цветкова, погибших на этом месте в автомобильной катастрофе 20 сент. 2007. Освящена 13 нояб. 2010.;Виктора Мученика;56.326955;38.253317
7751;Молитвенный дом в Абрамовке;церковь;сер. 2000-х;нет данных;действ.;Московская обл., адм. тер. Орехово-Зуево, д. Абрамовка;Молитвенный дом в деревянном здании сельской библиотеки. Устроен в сер. 2000-х в связи с невозможностью возвращения старой церкви, приписан к храму в Устьяново, внешне выделен главкой.;;55.513502;39.005132
7749;Церковь Николая Чудотворца в Абрамовке (каменная);церковь;не позже 1-й трети XIX в.;1916: Матвеев Н. П. – строительство по собств. проекту;сохр.;Московская обл., адм. тер. Орехово-Зуево, д. Абрамовка;Каменная старообрядческая церковь, выстроенная на средства промышленника А. П. Муравлева по проекту 1916 в связи с недостаточностью деревянной церкви. Представляла собой трехапсидную однокупольную постройку в неорусском стиле с колокольней, возможно не была достроена. В настоящее время используется как клуб.;Николая Чудотворца;55.513331;39.009209
26104;Церковь Троицы Троицы Живоначальной в Абрамцево;церковь;2003;нет данных;действ.;Московская обл., адм. тер. Дмитров, д. Абрамцево;Каменная одноглавая однопрестольная церковь, четверик под высокой четырехскатной крышей, прорезанной полуцилиндрическими сводами. Построена в 2013-2015 на месте прежде бывшей часовни, с включением остатков её стен. Освящена 29 авг. 2015.;Троицы Живоначальной;56.406128;37.241087
4894;Церковь Спаса Нерукотворного Образа в Абрамцево;церковь;1881;;действ.;Московская обл., адм. тер. Сергиев Посад, с. Абрамцево;Небольшая каменная одноглавая церковь, один из первых образцов неорусского стиля. Выстроена в 1881-1882 как усадебный храм на средства С. И. Мамонтова по рисунку В. М. Васнецова, в 1892 пристроена часовня-усыпальница Мамонтовых. Была приписана к церкви в Ахтырке. После революции передана в ведение музея. В настоящее время по праздникам и датам семьи Мамонтовых проводятся богослужения (всего 10 служб в году). Церковь освящена в 1993, приписана к церкви в Ахтырке.;Спаса Нерукотворного Образа;56.235821;37.966618
5022;Церковь Иконы Божией Матери Тихвинская в Авдотьино;церковь;1705;;действ.;Московская обл., адм. тер. Ступино, с. Авдотьино (Аксиньинское с/п);Белокаменная церковь в стиле барокко, построенная в 1749-1776 на средства И. В. и Н. И. Новиковых. Храм типа восьмерик на четверике с трапезной и колокольней (1789). Приделы в трапезной Алексия Митрополита и Василия Парийского. Закрыта в 1930-х, отреставрирована в 1975-1979. Возвращена верующим в 1993.;"Иконы Божией Матери Тихвинская; Василия, епископа Парийского; Алексия, митрополита Московского";55.246392;38.185484
