id;name;type;foundation_date;architect;status;address;short_description;dedications;lat;lon
;;;;;;;;;;
2630;Церковь Успения Пресвятой Богородицы в Александрово;церковь;не позже XVI в.;нет данных;действ.;Москва, Троицкий адм. окр., пос. Щапово;Каменная одноглавая церковь провинциальной архитектуры с трапезной и колокольней, выстроенная на средства В. В. Грушецкого. Северный придел Иоанна Воина пристроен в 1819. Закрыта в 1930, занята мастерскими, в 1970-х отреставрирована для концертного зала. Богослужения возобновлены в 1990.;"Успения Пресвятой Богородицы; Иоанна Воина";55.416596;37.407431
8458;Часовня Воскресения Христова на Анкудиновском кладбище;часовня;ок. 2007-2008;;действ.;Москва, Новомосковский адм. окр., д. Анкудиново;"Кирпичная часовня, построенная ок. 2007-2008 на участке Анкудиновского кладбища, отведённом под захоронения видных сотрудников компании ""Лукойл"". Эклектичная шатровая постройка типа восьмерик на четверике с элементами христианской архитектуры Закавказья. Приписана к храму в Большом Свинорье.";Воскресения Христова;55.568721;37.145458
6722;Церковь Иконы Божией Матери Умягчение злых сердец в Бачурино;церковь;2006;нет данных;действ.;Москва, Новомосковский адм. окр., д. Бачурино;Небольшая деревянная церковь-часовня под четырёхскатной шатровой кровлей на территории коттеджного посёлка Бачурино. Построена ок. 2006 для хранения мироточивого образа Богоматери Умягчение злых сердец, приписана к храму в Летово.;Иконы Божией Матери Умягчение злых сердец;55.572202;37.508038
2136;Церковь Михаила Архангела в Белоусово;церковь;не позже XVI в.;2015: Морозов С. Г. – интерьеры, внутренний/внешний декор (росписи);действ.;Москва, Троицкий адм. окр., д. Белоусово;Однокупольная церковь эклектичных форм сооружена на месте каменного здания 1679. Колокольня выстроена в 1846, трапезная с Иоанно-Богословским приделом в 1864-1876. Закрыта в 1953, пришла в запустение. Открыта в сер. 1990-х, восстановлена.;"Михаила Архангела; Иоанна Богослова";55.411188;37.015115
1916;Высокопетровский мужской монастырь;монастырь;XIV в.;;действ.;Москва, ул. Петровка, 28;Один из древнейших монастырей Москвы. Основан, возможно, в 1-й четв. XIV в. при жизни св. Петра Митрополита как Петропавловский, после кончины и канонизации святителя стал Петровским. В 1680-90-х отстроен практически заново на средства Нарышкиных. Упразднен советской властью в 1926, возвращен РПЦ в нач. 1990-х. В 1993 бывшему Высоко-Петровскому монастырю присвоен статус Патриаршего подворья. Архитектурный ансамбль хорошо сохранился. В 2009 монастырь восстановлен.;;55.767169;37.615196
1920;Собор Иконы Божией Матери Боголюбская в Высокопетровском монастыре;церковь;1690;1950-е-1980-е: Дедушенко Б. П. – реставрация;действ.;Москва, ул. Петровка, 28, стр. 11;Построен в 1690-91 гг. на месте перенесенной в колокольню Покровской церкви. Служил усыпальницей Нарышкиных. Двухсветный бесстолпный пятиглавый четверик и прилегающая трапезная, стоящие на низком подклете. Закрыт в 1929 - последним из монастырских храмов. Реставрировался в 2010-е - нач. 2020-х. Первое богослужение прошло 29 дек. 2013.;Иконы Божией Матери Боголюбская;55.767422;37.615031
1918;Собор Петра, митрополита Московского, в Высокопетровском монастыре;церковь;XIV в.;;действ.;Москва, ул. Петровка, 28, стр. 10;Древнейший храм обители. Возведен Алевизом Новым в 1514-17 гг. на месте прежнего деревянного. Перестроен при обновлении монастыря в кон. XVII в. и освящен 8 мая 1690. Восстановлен в древнем виде при реставрации в нач. 1980-х. Архитектурные формы не имеют в настоящее время аналогов. Восьмигранная башня со шлемовидной главой, возвышающаяся над 8-лепестковым нижним ярусом. Передан РПЦ в сер. 1990-х, освящен 3 янв. 1998.;Петра, митрополита Московского;55.767169;37.615197
1919;Собор Сергия Радонежского в Высокопетровском монастыре;церковь;1690;;действ.;Москва, ул. Петровка, 28, стр. 9;Построен в 1690-94 в память спасения Петра I в Троицкой лавре во время стрелецкого возмущения. Первоначально одноглавый, после обновления 1704-06 гг. приобрел нынешний вид. В 1836 в трапезной устроены приделы Алексия митрополита (левый) и Митрофания Воронежского (правый). Окруженный гульбищем храм на высоком подлете состоит из двухсветного пятиглавого четверика и прилегающей обширной трапезной. Закрыт в 1924. Службы возобновлены в 1992, приделы не восстановлены.;"Сергия Радонежского; Митрофана, епископа Воронежского; Алексия, митрополита Московского";55.766831;37.615706
1921;Церковь Иконы Божией Матери Толгская в Высокопетровском монастыре;церковь;1744;;действ.;Москва, ул. Петровка, 28, стр. 4;Одноглавый прямоугольный в плане, стоящий на подклете храм с граненой апсидой. Приписывается арх. И. Ф. Мичурину. Закрыт в 1924. Вновь освящён 10 окт. 1999 малым чином, 10 окт. 2019 - великим чином.;Иконы Божией Матери Толгская;55.767050;37.614803
