id;name;type;foundation_date;architect;status;address;short_description;dedications;lat;lon
;;;;;;;;;;
26284;Часовня на 142-м км трассы Р-72;часовня;2010;нет данных;действ.;Нижегородская обл., Навашинский р-н, 142-й км трассы Р-72;Каменная невходная часовня (киот), построенная в 2010 на трассе Р-72 Владимир-Арзамас (она же трасса Р-125 Нижний Новгород-Касимов) по типовому проекту, неоднократно повторенному в Нижегородской области. Освящена 10 нояб. 2010.;Николая Чудотворца;55.588697;42.150600
19638;Церковь Рождества Иоанна Предтечи в Абрамово;церковь;не позже 1818;нет данных;действ.;Нижегородская обл., Арзамасский р-н, с. Абрамово;Кирпичная церковь типа восьмерик на четверике с барочным декором, с небольшой трапезной и отдельно стоящей колокольней в стиле классицизма, построенная в 1818. Имела Варваринский и Пятницкий приделы. В 1937 закрыта, в 1975 сломана, уцелела только колокольня. В 1999 восстановлен приход, в 2001-2011 церковь выстроена заново в старых формах. Освящена 9 сент. 2011 митр. Георгием.;"Рождества Иоанна Предтечи; Параскевы (Пятницы); Варвары Великомученицы";55.410971;43.668758
26324;Никольский скит Троицкого Серафимо-Дивеевского монастыря;монастырь;1992;нет данных;действ.;Нижегородская обл., Ардатовский р-н, с. Автодеево, ул. Никольская;Никольский женский скит организован в 1992 на базе Троицкой (Никольской) церкви в селе Автодеево, переданной Серафимо-Дивеевскому монастырю с окружающими землями.;;55.181467;43.107689
27042;Церковь Троицы Живоначальной в Никольском скиту;церковь;;нет данных;действ.;Нижегородская обл., Ардатовский р-н, с. Автодеево, ул. Никольская;"Кирпичная классицистическая церковь постройки 1822. Кубический основной объём здания завершён крупным световым барабаном, перекрытым куполом с малым барабаном, увенчанным главкой. Северный и южный фасады оформлены четырёхколонными портиками; с востока примыкает крупная апсида, а с запада - низкая протяжённая трапезная, связывающая храм с трёхъярусной четырёхгранной колокольней со шпилем. Главный престол Троицкий, в тёплой части Никольский придел. В советское время церковь была закрыта, но сохранилась неплохо. С 1992 здесь скит Серафимо-Дивеевского монастыря.";"Троицы Живоначальной; Николая Чудотворца";55.179885;43.107316
14959;Церковь Троицы Живоначальной в Аламасово;церковь;;нет данных;действ.;Нижегородская обл., Вознесенский р-н, с. Аламасово;Кирпичная церковь, построенная в 1795, с декором в духе барокко. Основной объём - двусветный четверик, завершённый высоким восьмериком под куполом с главкой. Трапезная с Покровским и Знаменским приделами соединяет церковь с колокольней, завершённой каркасным шатром. Закрыта во 2-й пол. 1930-х. В 2001 возвращена верующим, отремонтирована.;"Троицы Живоначальной; Иконы Божией Матери Знамение; Покрова Пресвятой Богородицы";54.902154;43.146884
30272;Церковь Иконы Божией Матери Смоленская в Алешково;церковь;не позже 1869;нет данных;действ.;Нижегородская обл., Богородский р-н, с. Алешково, пер. Дорожный. 1А;Каменная двухпрестольная пятиглавая церковь, построенная в 1869. Двусветный четверик под четырёхскатной крышей, увенчанный тесно посаженным пятиглавием, с небольшой трапезной и трёхъярусной шатровой колокольней в связи. Придел Флора и Лавра в трапезной. Закрыта в 1937, разобрана колокольня, здание использовалось под зернохранилище. Восстановление начато в 2009, заново церковь освящена 11 нояб. 2021.;"Иконы Божией Матери Смоленская; Флора и Лавра";56.066257;43.424749
21528;Церковь Рождества Пресвятой Богородицы в Антоново;церковь;не позже 1890;1890: Никитин А. К.;действ.;Нижегородская обл., Спасский р-н, с. Антоново, ул. Луговая, 37;Деревянная однопрестольная церковь, построенная в 1890, в годы советской власти была разрушена. В 2008-2014 построен новый небольшой деревянный храм, освящённый 24 авг. 2014 еп. Лысковским и Лукояновским Силуаном. Четверик церкви увенчан глухим малым четвериком с главкой, над притвором поставлена звонница.;Рождества Пресвятой Богородицы;55.872762;45.816838
30277;Молитвенный дом Петра и Павла в Арапово;церковь;2007;нет данных;действ.;Нижегородская обл., Богородский р-н, с. Арапово, ул. Хлеборобов, 2А;Церковь устроена в деревянной избе в 2007. Внешне выделена росписью и крестом на фронтоне.;Петра и Павла;56.113020;43.254052
12545;Собор Иконы Божией Матери Знамение в Ардатове;церковь;;нет данных;действ.;Нижегородская обл., Ардатовский р-н, пос. Ардатов, ул. Ленина, 16;Крупный кирпичный храм в формах провинциального классицизма, сооружённый в 1802. Четырёхстолпная постройка, украшенная портиками из полуколонн и увенчанная крупным центральным барабаном с арочными окнами и четырьмя глухими угловыми барабанами. Трапезной соединён с колокольней в три яруса. Боковые приделы Предтеченский и Никольский. Закрыт не позже 1930-х, венчания сломаны, занят заводским цехом. Возвращён верующим в 1994, отреставрирован.;"Иконы Божией Матери Знамение; Николая Чудотворца; Усекновения Главы Иоанна Предтечи";55.238983;43.093293
11590;Церковь Иконы Божией Матери Всех Скорбящих Радость в Ардатове;церковь;кон. XVIII в.;нет данных;действ.;Нижегородская обл., Ардатовский р-н, пос. Ардатов, ул. Советская, 15;Кирпичная кладбищенская церковь, построенная в 1829. Была приписана к Знаменскому собору. Центрический ротондальный храм, усложнённый прямоугольными притворами и алтарём. Приделы Феодора Стратилата и Всех Святых. Закрыта не позже 1930-х. В 2000-х возвращена верующим, ремонтируется. Первая служба в ремонтируемом храме прошла 7 нояб. 2017.;"Иконы Божией Матери Всех Скорбящих Радость; Всех Святых; Феодора Стратилата";55.246902;43.101275
18873;Церковь Троицы Живоначальной в Арефино;церковь;не позже XVI в.;нет данных;действ.;Нижегородская обл., Вачский р-н, с. Арефино, ул. Пестрякова, 30;Кирпичная церковь, построенная по храмозданной 1702. Бесстолпный двусветный четверик, завершённый декоративным пятиглавием, с трёхчастным алтарём, трапезной (расширена в 1843) связанный с шатровой колокольней, построенной в кон. XIX - нач. ХХ вв. Главный престол Троицкий, в трапезной Никольский и Казанский (с 1791) приделы. Не закрывалась.;"Троицы Живоначальной; Николая Чудотворца; Иконы Божией Матери Казанская";55.873249;42.865536
13639;Николаевский Арзамасский женский монастырь;монастырь;кон. XVI в.;нет данных;действ.;Нижегородская обл., г. Арзамас, Соборная пл., 1;Женский монастырь, устроенный при Никольской церкви в кон. XVI в. иереем Феофилактом (Яковлевым). Основные каменные строения - келейные корпуса, ограда - сооружены в 1-й пол. XIX в., к нач. ХХ в. - многолюдный монастырь с мастерскими. С 1918 постепенно занят под казармы и общежития, монахинями в 1920 создана трудовая артель. Окончательно закрыт в 1928, корпуса заняты под жилье. Восстановлен в 1994 на части старой территории.;;55.385836;43.815129
13640;Собор Николая Чудотворца в Николаевском Арзамасском монастыре;церковь;ок. 1580;;действ.;Нижегородская обл., г. Арзамас, Соборная пл., 1;Кирпичный храм, сооруженный на месте каменного здания 1683, обрушившегося во время пожара в 1726. Освящен в 1738. Представлял собой храм типа восьмерик на четверике с декором в духе традиционного зодчества, с трапезной, в которой помещался Космодамианский придел, и колокольней в стиле классицизма. Закрыт в 1928, перестроен под общежитие, колокольня и восьмерик разрушены. Возвращен верующим в 2001, отреставрирован. Освящение состоялось 18 дек. 2015.;"Николая Чудотворца; Космы и Дамиана";55.385766;43.814759
13641;Церковь Богоявления Господня в Николаевском Арзамасском монастыре;церковь;кон. XVI - нач. XVII вв.;нет данных;действ.;Нижегородская обл., г. Арзамас, Соборная пл., 1;Тёплый храм Никольского монастыря, сооружённый игум. Евсевией в 1811-1813 взамен старого каменного здания 1770-х. Прямоугольная в плане трёхнефная постройка в стиле классицизма с небольшим куполом над трансептом. Боковые приделы Боголюбовский и Всехсвятский, в нижнем этаже в 1856 устроили Скорбященский престол (в качестве больничного храма). Закрыт в 1928, передан Госбанку, позже использовался как магазин. Возвращён верующим в 1994, восстановлен купол.;"Богоявления Господня; Всех Святых; Иконы Божией Матери Всех Скорбящих Радость; Иконы Божией Матери Боголюбская";55.386068;43.814705
32680;Часовня в Николаевском Арзамасском монастыре;часовня;не позже 1858;нет данных;действ.;Нажегородская обл., Арзамасский р-н, г. Арзамас, Соборная пл.;Каменная часовня с пристроенным флигелем у святых ворот монастыря построена в 1858. Представляет собой восьмерик под шатром с небольшим завершением. Закрыта в 1920-х. Восстановлена на прежнем месте после 2000.;;55.386255;43.813997
18546;Спасский Арзамасский мужской монастырь;монастырь;1556;нет данных;действ.;Нижегородская обл., Арзамасский р-н, г. Арзамас, Архивный городок;Мужской монастырь, по преданию основанный в 1556. Документально известен с 1580-х. В XVII-XIX вв. богатейший и известнейший монастырь города, на его территории с 1810-х до 1900-х помещалось духовное училище. Начиная с 1918-1920 постройки заняты под казармы, квартиры и склады, частично сломаны, позже на территории помещалась швейная фабрика, затем - архивный городок. 20 апреля 2005 решением Священного Синода юридически восстановлен, но не на старой территории, вначале при Благовещенской церкви города. В 2015 состоялось первое богослужение на канонической территории монастыря, в Спасо-Преображенском соборе. Восстановлена колокольня, возвращены и восстанавливаются большинство монастырских строений. 13 марта 2024 на колокольню подняты колокола.;;55.384913;43.818702
18547;Собор Преображения Господня в Спасском Арзамасском монастыре;церковь;1556;2010-е: Юшков Н. Е. – интерьеры, внутренний/внешний декор (росписи);действ.;Нижегородская обл., г. Арзамас, Архивный городок, 2;Кирпичный монастырский собор, заложенный в 1638 игум. Ионой и оконченный в нач. 1640-х игум. Корнилием. Характерная для нижегородского зодчества сер. XVII в. постройка - четырёхстолпный пятикупольный трехапсидный храм с крупными закомарами. Несколько перестроен в 3-й четв. XVIII в. игум. Иоасафом - пробиты новые окна, сооружена трапезная, в которой устроены приделы Успения Богородицы и Марии Магдалины, в 1786 вновь освящен. Закрыт в 1924, занят складом, с 1928 - архивом. Поддерживается в порядке. В 2015 архив освободил здание, начато восстановление интерьера, проведено первое богослужение. Собор освящен великим чином 14 авг. 2023.;"Преображения Господня; Марии Магдалины; Успения Пресвятой Богородицы";55.384944;43.819150
18549;Церковь Георгия Победоносца в Спасском Арзамасском монастыре;церковь;1684;нет данных;действ.;Нижегородская обл., г. Арзамас, Архивный городок, 1;Кирпичная церковь в стиле классицизма, завершавшаяся небольшим куполом, с примыкающими к ней с двух сторон двухэтажными келейными корпусами. Построена игум. Евграфом в 1806 вместо прежде бывшей каменной надвратной церкви 1684 по центру западной стены монастыря. Служила домовой при архиерейских покоях. Закрыта в 1921, венчания сломаны. В 2019 здания братских келий и игуменского корпуса возвращены монастырю. Освящена 11 авг. 2024.;Георгия Победоносца;55.384888;43.817645
18548;Церковь Рождества Пресвятой Богородицы в Спасском Арзамасском монастыре;церковь;2-я пол. XVI в.;нет данных;сохр.;Нижегородская обл., г. Арзамас, Архивный городок, 2;Кирпичный трапезный храм, поставленный на высоком подклете, построенный во 2-й пол. XVII в. к юго-западу от собора. Пятиглавый четверик, вытянутый по поперечной оси, с трехчастным алтарем и обширной трапезной. Второй престол Сретенский. Закрыт в 1929, занята под хлебопекарню и общежитие. Позже венчания сломаны. В 2012 возвращена Церкви в аварийном состоянии, полуразрушенной, цела только трапезная часть с частично рухнувшими сводами. Ведется восстановление. 22 мая 2019 освящены и установлены купола и кресты.;"Рождества Пресвятой Богородицы; Сретения Господня";55.384706;43.818584
18551;Часовня Спаса Нерукотворного Образа в Спасском Арзамасском монастыре;часовня;1861;нет данных;действ.;Нижегородская обл., Арзамасский р-н, г. Арзамас, Архивный городок;Кирпичная восьмигранная шатровая часовня в русско-византийском стиле, построенная в юго-западном углу монастырской ограды, рядом со зданием духовного училища, в 1861, при архим. Иоакиме. Закрыта не позже 1920-х. В 2000-х отремонтирована, сейчас приписана к Благовещенской церкви.;Спаса Нерукотворного Образа;55.384584;43.817380
12869;Собор Воскресения Христова в Арзамасе;церковь;сер. XVI в.;;действ.;Нижегородская обл., г. Арзамас, Соборная пл., 19;Грандиозный собор, один из лучших образцов стиля классицизма. Сооружён как храм-памятник победе в Отечественной войне 1812 вместо прежнего каменного собора 1742. Заложен в 1814, освящён 15 сент.1840. Четырёхстолпный пятикупольный храм, кубический объём которого усложнён симметричными прямоугольными притворами и алтарём, украшенными двенадцатиколонными портиками. По бокам от главного алтаря приделы Иоанна Воина и Серафима Саровского (справа) и Александра Невского и Митрофана Воронежского (слева), в боковых притворах Покровско-Иоанно-Богословский (справа) и Всехсвятско-Никольский (слева). Закрыт в 1932, занят под антирелигиозный музей. В 1944 возвращён верующим при личном участии патр. Сергия (Страгородского), уроженца Арзамаса. Более не закрывался. 30 июля 2023, после завершения всех реставрационных работ,храм освящен великим чином патриархом Кириллом.;"Воскресения Христова; Александра Невского; Всех Святых; Иоанна Богослова; Митрофана, епископа Воронежского; Николая Чудотворца; Покрова Пресвятой Богородицы; Серафима Саровского; Иоанна Воина";55.386701;43.813343
23713;Церковь Андрея Первозванного в Арзамасе;церковь;1793;нет данных;действ.;Нижегородская обл., г. Арзамас, ул. Владимирского, 28;Теплый храм Ильинского прихода, построенный в 1793 при помощи купца А. Цыбышева и расширенный в 1870-х. Двухапсидный четверик, завершенный небольшим декоративным куполом, с трапезной. В один ряд были Андреевский (справа) и Симеоно-Аннинский (слева) престолы. Закрыт в 1935, занят клубом пионеров, позже клубом ДОСААФ. Возвращен 11 февр. 2003. 20 марта 2005 начались богослужения.;"Андрея Первозванного; Симеона и Анны";55.386550;43.823434
12875;Церковь Благовещения Пресвятой Богородицы в Арзамасе;церковь;не позже 1-й пол. XVII в.;нет данных;действ.;Нижегородская обл., г. Арзамас, пл. Патриарха Сергия, 1;Крупная двухэтажная кирпичная церковь в стиле барокко, сооружённая в 1775-1784. Четырёхстолпный храм, увенчанный пятью световыми восьмигранными барабанами, с прямоугольным алтарём и притвором с высокой колокольней. Основной объём по архитектурному облику близок к собору Саровской пустыни и зданиям его круга. Внизу был тёплый Трёхсвятительский храм (1774) с Никольским и Скорбященским приделами, вверху летний Благовещенский с Предтеченским и Михайловско-Флоро-Лаврским приделами. Закрыта в 1929, купола и колокольня сломаны, использовалась в хозяйственных нуждах. В 2003 возвращена верующим, начата реставрация. В 2004 проведено первое богослужение. 18 нояб. 2016 освящен главный престол нижнего храма - Трехсвятительский.;"Благовещения Пресвятой Богородицы; Иконы Божией Матери Всех Скорбящих Радость; Иоанна Предтечи; Михаила Архангела; Николая Чудотворца; Флора и Лавра; Трех Святителей Великих";55.385170;43.817304
19581;Церковь Входа Господня в Иерусалим в Арзамасе;церковь;1777;нет данных;действ.;Нижегородская обл., г. Арзамас, ул. Нагорная, 2;Теплая церковь Богословского прихода, построенная в 1777. В 1883 обгорела, после чего перестроена. Прямоугольная в плане односветная постройка с небольшим декоративным куполм. Приделы Стефана Архидиакона и мучеников Евстратия, Авксентия, Евгения, Мардария и Ореста. Закрыта в 1929, оборудована под электростанцию, венчания сломаны. Позже использовалась как гараж. В 2004 возвращена верующим, отремонтирована, малое освящение совершено 2 янв. 2013.;"Входа Господня в Иерусалим; Стефана Архидиакона";55.383750;43.820300
12871;Церковь Иконы Божией Матери Владимирская в Арзамасе;церковь;не позже 1-й пол. XVII в.;2010-е: Анциферов А. В. – интерьеры, внутренний/внешний декор (росписи);действ.;Нижегородская обл., г. Арзамас, ул. Ленина, 17А;Кирпичная церковь в стиле классицизма, построенная в 1802 на месте каменного здания 1681. Двусветный четверик, увенчанный ротондой с круглыми окнами, с полукруглым алтарём, небольшой трапезной и высокой колокольней, увенчанной широким шпилем. В трапезной приделы Соловецких Чудотворцев и Димитрия Ростовского. Закрыта в 1929, венчания сломаны, занята хлебопекарней. В 2004 возвращена верующим, отреставрирована, с 2006 ведутся богослужения.;"Иконы Божией Матери Владимирская; Димитрия, митрополита Ростовского; Зосимы и Савватия Соловецких";55.383721;43.815998
12870;Церковь Иконы Божией Матери Живоносный Источник в Арзамасе;церковь;;1883: Никитин А. К. – перестройка;действ.;Нижегородская обл., г. Арзамас, Соборная пл.;Зимний храм, сооружённый в 1792-1794 к северу от Воскресенского собора. Базиликальная постройка в стиле классицизма с небольшим восьмигранным куполом над восточной частью и трёхъярусной колокольней над западным притвором. Приделы Михаила Архангела и Богоматери Утоли Моя Печали. Закрыт в 1935. В 1944 возвращён верующим, более не закрывался.;"Иконы Божией Матери Живоносный Источник; Иконы Божией Матери Утоли Моя Печали; Михаила Архангела";55.387274;43.813417
16704;;;;;;;;;;
19596;;;;;;;;;;
12874;;;;;;;;;;
16701;;;;;;;;;;
