id;name;type;foundation_date;architect;status;address;short_description;dedications;lat;lon
;;;;;;;;;;
25626;Часовня Илии Пророка на 21 км автодороги 58К-333;часовня;не позже кон. XIX в.;нет данных;действ.;Псковская обл., Печорский р-н, 21 км автодороги 58К-333;Каменная придорожная часовня, датируемая XIX в. Кубическая постройка под низкой четырехскатной кровлей, завершенной главкой с крестом. Поддерживается в порядке.;Илии Пророка;57.722666;27.831418
25627;Часовня Иконы Божией Матери Державная на 22 км автодороги 58К-333;часовня;2000-е;нет данных;действ.;Псковская обл., Печорский р-н, 22 км автодороги 58К-333;Каменная кубическая часовня построена у памятника Священный Холм. Освящена 8 сент. 2012. Авторы идеи строительства комплекса: А. Нотин, С. Ямщиков и А. Проханов.;Иконы Божией Матери Державная;57.713401;27.842062
24247;"Часовня Николая Чудотворца на ""Кривой версте""";часовня;2005;нет данных;действ.;Псковская обл., Печорский р-н, 41-й км автодороги Псков-Рига;Часовня на военном мемориале, где захоронено 648 воинов Советской армии, погибших во время боев в августе 1944. Сооружена попечением работников Печорской таможни, освящена 20.12.2005. Деревянный четверогранный сруб под четырехскатным шатром.;Николая Чудотворца;57.700585;27.697762
24236;Церковь Успения Пресвятой Богородицы в Аксеновой Горе;церковь;1909;1909-1921: Рыбинский Ф. В. (?);действ.;Псковская обл., Палкинский р-н, д. Аксеново;Аксенова Гора выделена в отдельный приход в 1907. Кирпичная церковь заложена в 1909 и освящена в 1921. Невысокий одноглавый четверик небольшой трапезной и двухъярусной шатровой колокольней. Видимо, не закрывалась.;Успения Пресвятой Богородицы;57.376983;27.811195
24237;Церковь-школа Успения Пресвятой Богородицы в Аксеновой Горе;церковь;1899;1899-1901: Рыбинский Ф. В. (?);сохр.;Псковская обл., Палкинский р-н, д. Аксеново;Деревянная церковь-школа, сооруженная в 1899-1901 по инициативе о. М. Никольского, настоятеля храма в Качановой Слободе, в приход которого входила Аксенова Гора. Одноэтажная постройка. После постройки каменного храма для регулярных богослужений не использовалась.;Успения Пресвятой Богородицы;57.376780;27.810729
27612;Часовня Иконы Божией Матери Знамение в Аксеново;часовня;1998;нет данных;действ.;Псковская обл., Бежаницкий р-н, д. Аксёново;Деревянная часовня, выстроенная в 1998 в честь 300-летия существования на этом месте храма, уничтоженного фашистами в 1944. Рубленый четверик с крупным притвором, над которым установлена шатровая колокольня.;Иконы Божией Матери Знамение;;
24238;Часовня Успения Пресвятой Богородицы в Аксеновой Горе;часовня;не позже XIX в.;нет данных;действ.;Псковская обл., Палкинский р-н, д. Аксеново;Деревянная кладбищенская часовня, до 1900-х относившаяся к качановскому приходу. Достаточно крупный прямоугольный сруб под двускатной кровлей с крестом на коньке, обшитый тесом, с открытым крыльцом.;Успения Пресвятой Богородицы;57.377339;27.811968
32147;Часовня Иконы Божией Матери Смоленская в Александрово;часовня;не позже сер. XIX в.;нет данных;действ.;Псковская обл., Дедовичский р-н, д. Александрово;"Деревянная входная часовня, упоминаемая в 1870-х, построена тщанием местных жителей. Была приписана к Рождество-Богородицкой церкви в Белой. Рубленный ""в лапу"" прямоугольный в плане световой объём с двускатной шиферной кровлей и деревянным крестом на её ""коньке"" над входной дверью. В настоящее время используется обитателями деревни.";Иконы Божией Матери Смоленская;57.678381;30.126939
24341;Часовня Иконы Божией Матери Казанская (?) в Аленином Захонье;часовня;;нет данных;действ.;Псковская обл., Порховский р-н, д. Аленино Захонье;Кирпичная часовня в виде небольшой постройки-киота, квадратной в плане, перекрытой полукруглой кровлей, в деревне бельско-устьинского прихода. Поддерживается в порядке, но требует ремонта.;Иконы Божией Матери Казанская;57.658138;29.707706
