id;name;type;foundation_date;architect;status;address;short_description;dedications;lat;lon
;;;;;;;;;;
18772;Часовня Николая Чудотворца на 248-м км автодороги Р-105;часовня;1-я пол. 2000-х;нет данных;действ.;Рязанская обл., Касимовский р-н, ур. 248-й км автодороги Р-105 (1,5 км Ю с. Даньково);Кирпичный придорожный часовенный столб, сооружённый в 1-й пол. 2000-х на 248-м км автодороги Р-105 (Москва-Касимов) в память помощи, оказанной св. Николаем застрявшему водителю.;Николая Чудотворца;55.019860;41.255938
17331;Церковь Илии Пророка в Абакумово;церковь;не позже сер. XVII в.;нет данных;сохр.;Рязанская обл., Пронский р-н, д. Абакумово;Кирпичная одноглавая церковь с трапезной и колокольней, построена в русском эклектичном стиле вместо прежней деревянной (1725), того же посвящения. В советское время закрыта, разорена, частично руинирована.;Илии Пророка;54.254400;39.583000
14697;Церковь Рождества Пресвятой Богородицы в Абрютино;церковь;не позже кон. XVI в.;нет данных;действ.;Рязанская обл., Рязанский р-н, д. Абрютинские Выселки;Церковь, первоначально Димитриевская, известна с кон. XVI в. Последняя по времени Богородице-Рождественская деревянная церковь с приделом Димитрия Солунского выстроена в 1795. Хотя и обновлялось в 1876, но в связи с её ветхостью в 1893-1905 был построен новый одноимённый кирпичный крестообразный в плане однокупольный храм с приделами Иоанна Богослова и Димитрия Солунского. Закрыт в 1938, возвращён верующим в кон. 1990-х, реставрация продолжается. Ныне является подворьем Свято-Троицкого Рязанского мужского монастыря.;"Рождества Пресвятой Богородицы; Иоанна Богослова; Димитрия Солунского";54.540178;39.558197
13660;Церковь Сергия Радонежского (малая) в Агро-Пустыни;церковь;ок. 2001;нет данных;действ.;Рязанская обл., Рязанский р-н, с. Агро-Пустынь;Небольшая церковь, сооруженная к северу от старой в связи с невозможностью быстрого восстановления последней. Сооружена ок. 2001 как подворье Солотчинского монастыря, с 2004 приходская. Клетская одноглавая постройка с шатровой колокольней, позже обложенная кирпичом.;Сергия Радонежского;54.754700;39.784500
13659;Церковь Сергия Радонежского в Агро-Пустыни;церковь;не позже XVII в.;нет данных;действ.;Рязанская обл., Рязанский р-н, с. Агро-Пустынь;Огромная кирпичная церковь эклектичной архитектуры, выстроенная в 1884-1897 по инициативе прот. А. С. Арбекова. Кирпичный храм приземистых пропорций состоит из основного объема, увенчанного куполом, с боковыми притворами, обширной трапезной и колокольней. Главный престол был Покровский, приделы Сергиевский и Никольский. Закрыта не позже 1930-х, в 1941 снесена отдельно стоящая колокольня 1900-х. В 2000-х начат ремонт. В 2017 церковь освящена, в ней проводятся ежедневные службы.;"Сергия Радонежского; Николая Чудотворца; Покрова Пресвятой Богородицы";54.754200;39.784600
10621;Церковь Троицы Живоначальной в Акаево;церковь;не позже 2-й пол. XVIII в.;нет данных;действ.;Рязанская обл., Ермишинский р-н, д. Акаево;Ротондальный храм в стиле классицизма с двухпридельной трапезной и невысокой колокольней. Построен в 1809 на средства Е. И. Постельниковой. Первоначально Рождество-Богородицкий с приделами Василия Великого и Флора и Лавра. В 1995 возвращён верующим, освящен как Троицкий, ремонтируется.;"Троицы Живоначальной; Флора и Лавра; Василия Великого";54.730826;42.415284
18830;Часовня Михаила Архангела в Акулово;часовня;;нет данных;сохр.;Рязанская обл., Клепиковский р-н, д. Акулово;"Деревянная четверогранная ""входная"" часовня, обшитая тесом и перекрытая высокой четырехскатной кровлей с главкой. Деревня относилась к куршинскому приходу. В настоящее время пустует, в аварийном состоянии.";Михаила Архангела;54.927536;40.810432
24343;Церковь Николая Чудотворца в Аладьино;церковь;;нет данных;действ.;Рязанская обл., Чучковский р-н, с. Аладьино, ул. Советская, 43;Кирпичная церковь в формах классицизма, построенная в 1809 на средства Голицыных. Основной объем в виде неравногранного восьмерика перекрыт сводом с люкарнами, с востока к нему примыкает пятигранный алтарь, с запада небольшая трапезная. Закрыта не позже 1930-х, сломана колокольня. В 2000-х возвращена верующим, ремонтируется. С 2003 - редкие богослужения приезжими священниками. Регулярные богослужения с 2006.;Николая Чудотворца;54.278359;41.671806
24013;Церковь Александра Невского в Александро-Невском;церковь;нач. 2000-х;нет данных;действ.;Рязанская обл., Александро-Невский р-н, пос. Александро-Невский, ул. Заводская, 31;Деревянная церковь на кирпичном цокольном этаже. Приход зарегистрирован в 2002. Прямоугольный в плане одноглавый объем с боковыми прирубами и шатровой звонницей над притвором.;Александра Невского;53.478591;40.207107
26926;Церковь Иоанна Богослова в Альяшево;церковь;не позже 1676;нет данных;сохр.;Рязанская обл., Захаровский р-н, с. Альяшево, кладб.;Кирпичная двухпрестольная церковь построена к 1807 вместо прежней деревянной. Имела Никольский придел в трапезной. К перекрытому куполом одноглавому двусветному основному объёму с пилястрами на боковых фасадах примыкают полукруглая апсида и прямоугольная трапезная. Закрыта в сер. ХХ в., сохранилась в руинированном виде, трёхъярусная колокольня разобрана.;"Иоанна Богослова; Николая Чудотворца";54.547764;39.318848
17000;Церковь Воздвижения Честного Креста Господня в Аннино;церковь;не позже сер. XVII в.;нет данных;сохр.;Рязанская обл., Михайловский р-н, с. Аннино;Кирпичная церковь в стиле барокко, построена на средства местного владельца князя Н. П. Гагарина вместо прежней. Одноглавый восьмерик на четверике, трапезная и колокольня (не сохр.). Приделы: Никольский, Димитриевский, Богословский. Была приписана к Вознесенской церкви в Мишино. В советское время закрыта, сломаны завершения и колокольня. Ныне заброшена, находится в тяжелом состоянии.;"Воздвижения Честного Креста Господня; Иоанна Богослова; Николая Чудотворца; Димитрия, митрополита Ростовского";54.173641;39.308203
6437;Часовня в Апушке;часовня;;нет данных;действ.;Рязанская обл., Шацкий р-н, с. Апушка;;;;
14549;Церковь Иконы Божией Матери Владимирская в Ардабьево;церковь;не позже 2-й пол. XVII в.;нет данных;действ.;Рязанская обл., Касимовский р-н, с. Ардабьево;Кирпичная церковь в стиле зрелого классицизма. Построена в 1797 на средства помещика Вышеславцева. Основной объем в виде трехсветной ротонды, к которому примыкают полукруглый алтарь и двухпридельная трапезная со скругленными углами, к которой пристроена колокольня. Приделы Михаило-Архангельский и Никольский. Практически не закрывалась.;"Иконы Божией Матери Владимирская; Николая Чудотворца; Михаила Архангела";55.061492;41.660127
