id;name;type;foundation_date;architect;status;address;short_description;dedications;lat;lon
;;;;;;;;;;
4644;;;;;;;;;;
4643;Церковь Михаила Архангела в Алексино;церковь;;;сохр.;Cмоленская обл., Дорогобужский р-н, с. Алексино;Каменная холодная однопрестольная церковь. Построена в стиле классицизма по проекту арх. Матвея Казакова на средства местного владельца И. И. Барышникова. В советское время закрыта, ныне возвращена верующим, восстанавливается.;Михаила Архангела;54.785301;33.400846
28651;Часовня в Алексино;часовня;;нет данных;сохр.;Смоленская обл., Дорогобужский р-н, с. Алексино;Каменная часовня на территории усадьбы, кубический объём под четырёхскатной кровлей с главкой на высокой шейке. В советское время закрыта, кровля переложена с потерей декора завершения фасадов.;;54.791740;33.412120
29168;Часовня Николая Чудотворца в Андреевке;часовня;нач. 2010-х;2013: Фадеев Е. И.;действ.;Смоленская обл., Гагаринский р-н, д. Андреевка;Бревенчатая часовня сооружена в 2013, освящена 25 мая. Кубический объём надстроен малым световым четвериком, увенчанным шатром с главкой.;Николая Чудотворца;55.326511;34.904287
24959;Церковь Воздвижения Честного Креста Господня в Аполье;церковь;не позже 1745;нет данных;сохр.;Смоленская обл., Смоленский р-н, д. Аполье;Кирпичная церковь, построенная в 1745-1748 на средства помещика И. А. Друцкого-Соколинского и освященная в 1761. Основной объем в виде неравногранного двусветного восьмерика завершался купольным сводом с малым восьмериком, к нему примыкали алтарь и притвор с колокольней. Закрыта в 1939, колокольня сломана. Находится в аварийном состоянии, свод обрушился в 2000-х.;Воздвижения Честного Креста Господня;55.055746;31.872278
24960;Церковь Петра и Павла в Аполье;церковь;1880;нет данных;сохр.;Смоленская обл., Смоленский р-н, д. Аполье;Кирпичная теплая церковь, устроенная в 1880 при помощи помещика князя П. П. Гурко в приспособленном здании. Закрыта в 1937, венчания сломаны. Поддерживается в порядке.;Петра и Павла;55.055996;31.872665
31796;Церковь Александра Невского в Аржаниках;церковь;;2022-2024: Галимов Д. В.;действ.;Смоленская обл., Гагаринский р-н, д. Аржаники;;Александра Невского;55.902595;35.106456
29510;Новоордынская Поречская Богородице-Рождественская мужская пустынь;монастырь;2018;нет данных;действ.;Смоленская обл., Демидовский р-н, д. Бакланово, ул. Центральная;В 2018 в Бакланово открыт Ильинский скит Преображенского Смоленского Авраамиева монастыря. Скиту передано заброшенное здание бывшей сельской школы. 17 июля 2020 принято решении об открытии самостоятельного мужского монастыря Новоордынская Поречская Богородице-Рождественская пустынь. Пустынь освящена 13 июля 2024.;;55.506700;31.680100
29511;Церковь Авраамия Смоленского в Новоордынской Поречской Богородице-Рождественской пустыни;церковь;2018;нет данных;действ.;Смоленская обл., Демидовский р-н, д. Бакланово, ул. Центральная;Домовая церковь устроена в деревянном скитском (ныне монастырском) корпусе, бывшем заброшенном здании школы. Выделена главкой. Освящена 16 дек. 2018 великим чином.;Авраамия Смоленского;55.506670;31.680254
32015;Церковь Рождества Пресвятой Богородицы в Новоордынской Поречской Богородице-Рождественской пустыни;церковь;2020;нет данных;действ.;Смоленская обл., Демидовский р-н, д. Бакланово, ул. Центральная;Деревянная однопрестольная церковь, восьмерик под грушевидной главой, на крестообразном основании, с дополнительными пониженными угловыми прирубами, с протяженной трапезной под двухскатной крышей. Освящена 13 июля 2024.;Рождества Пресвятой Богородицы;55.506924;31.680341
