id;name;type;foundation_date;architect;status;address;short_description;dedications;lat;lon
;;;;;;;;;;
27565;Часовня Трифона Мученика при стрелковом клубе Стрелецкий двор;часовня;2009;нет данных;действ.;"Свердловская обл., гор. окр. Первоуральск, 25-й км Московского тракта (331-й км автодороги Р-242), стрелковый клуб ""Стрелецкий двор""";Деревянная часовня представляет собой четверик, увенчанный малым четвериком под двускатной крышей. Построена в 2009 на территории и на средства стрелкового клуба, освящена 7 сент. 2009.;Трифона Мученика;56.837012;60.135418
26480;Часовня на 65 км автодороги Ивдель - Ханты-Мансийск;часовня;2018;нет данных;действ.;Свердловская обл., гор. окр. Ивдель, ур. 65-й км автодороги Ивдель - Ханты-Мансийск;Деревянная одноглавая шатровая часовня, восьмерик на крестообразном основании с бочкообразными завершениями фасадов.;;60.924980;61.524309
21623;Церковь Введения Пресвятой Богородицы во Храм в Абрамовском;церковь;1911;нет данных;действ.;Свердловская обл., Сысертский р-н, с. Абрамовское;Кирпичная однопрестольная церковь в формах эклектики, построенная в 1911. Четверик, завершенный неравногранным восьмериком, с небольшой трапезной. Закрыта не позже 1930-х, сломана колокольня. В 1995 возвращена верующим, отремонтирована.;Введения Пресвятой Богородицы во Храм;56.379664;61.009065
26153;Часовня Троицы Живоначальной в Аверино;часовня;1995;нет данных;действ.;Свердловская обл., Сысертский р-н, с. Аверино, ул. Советская, д. 96Б;Одноглавая деревянная часовня - восьмерик под восьмискатной крышей, соединённый с более низким четвериком под двускатной крышей. Построена в 1995. Посвящение выбрано в память прежней церкви.;Троицы Живоначальной;56.325075;61.036788
26379;Алапаевский женский монастырь Елисаветы Феодоровны Преподобномученицы;монастырь;2005;нет данных;действ.;Свердловская обл., г. Алапаевск, ул. Ленина, 79;Женская община на месте будущего монастыря создана в 1998, занимая помещения бывшего детского сада рядом со зданием школы, где содержалась Елизавета Федоровна. Официально монастырь создан 20 апр. 2005 решением Святейшего Синода РПЦ. При монастыре существует богадельня.;;57.866562;61.703288
26380;Церковь Елисаветы Феодоровны Преподобномученицы в Алапаевском монастыре Елисаветы Феодоровны Преподобномученицы;церковь;2015;нет данных;действ.;Свердловская обл., г. Алапаевск, ул. Ленина, 79;Каменная одноглавая церковь, заложенная в 2015. Дополнительная главка - над полукруглой апсидой. Освящена 15 июля 2016 великим чином.;Елисаветы Феодоровны Преподобномученицы;57.866362;61.702280
26648;Собор Троицы Живоначальной в Алапаевске;церковь;кон. XVII в.;нет данных;действ.;Свердловская обл., г. Алапаевск, ул. Чайковского, 19;В 1702 на средства прихожан построена каменная однопрестольная Алексиевская церковь. В 1771 перестраивалась, устроен Михайло-Архангельский придел (освящён в 1776). В 1793 на средства прихожан пристроен холодный Троицкий придел с восточной стороны (освящён в 1816). В 1833 выстроена новая колокольня вместо прежней, разобранной в 1831. В 1841 Троицкий престол освящён как главный с Алексиевским (южн.) и Архангельским (сев.) приделами, в 1912 церковь получила статус собора. Закрыта в 1932, сломаны завершения, в здании размещён хлебозавод. В 1992 возвращёна епархии, начато восстановление. Является архиерейским подворьем, с 2012 — кафедральный собор Каменской епархии.;"Троицы Живоначальной; Михаила Архангела; Алексия, человека Божия";57.856913;61.702013
17429;Церковь Екатерины Великомученицы в Алапаевске;церковь;1832;нет данных;действ.;Свердловская обл., г. Алапаевск, ул. Перминова, 1;Кирпичная церковь в формах эклектики, построенная в 1912 купцами Черными. Четверик, завершенный малым восьмериком под шатром и четырьмя глухими шатровыми куполами, с алтарем, притвором и шатровой колокольней. Не закрывалась.;Екатерины Великомученицы;57.864500;61.716365
26375;Алапаевский мужской монастырь Новомучеников и Исповедников Российских;монастырь;1995;нет данных;действ.;Свердловская обл., Алапаевский р-н, ур. Алапаевский мужской монастырь (ок. 3 км ЮВ пос. Верхняя Синячиха);Монастырь на месте, где в шахту были живыми сброшены великая княгиня Елизавета Феодоровна Романова, инокиня Варвара, великий князь Сергий Михайлович, князья императорской крови Иоанн, Константин и Игорь Константиновичи, князь Владимир Палей, Феодор Ремез, официально основан 22 февр. 1995 решением Синода РПЦ. С тех пор в монастыре ведется широкое каменное строительство. Монастырский комплекс включает в себя: памятный крест над шахтой, 4-этажное кирпичное здание братского корпуса с храмом, церковь Феодоровской иконы Божией Матери, часовню, двое входных врат и хозяйственные постройки.;;57.952983;61.702878
26377;Церковь Иконы Божией Матери Феодоровская в Алапаевском монастыре Новомучеников и Исповедников Российских;церковь;2010-е;нет данных;действ.;Свердловская обл., Алапаевский р-н, ур. Алапаевский мужской монастырь (ок. 3 км ЮВ пос. Верхняя Синячиха);Крупная каменная одноглавая двухпрестольная (?) церковь, крестообразная в плане. Освящена Патриархом Кириллом 15 июля 2018.;"Иконы Божией Матери Феодоровская; Царственных Страстотерпцев";57.954337;61.701716
26376;Церковь Новомучеников и Исповедников Российских в Алапаевском монастыре Новомучеников и Исповедников Российских;церковь;1996;нет данных;действ.;Свердловская обл., Алапаевский р-н, ур. Алапаевский мужской монастырь (ок. 3 км ЮВ пос. Верхняя Синячиха);Кирпичная одноглавая однопрестольная церковь с пристроенным с запада четырёхэтажным братским корпусом. Заложена 6 июля 1996, освящена малым освящением 6 июля 1998, великим освящением - 18 июля 2001.;Новомучеников и Исповедников Российских;57.953451;61.702843
26378;Часовня Елисаветы Феодоровны Преподобномученицы в Алапаевском монастыре Новомучеников и Исповедников Российских;часовня;1992;нет данных;действ.;Свердловская обл., Алапаевский р-н, ур. Алапаевский мужской монастырь (ок. 3 км ЮВ пос. Верхняя Синячиха);Одноглавая каменная часовня с полуциркульными завершениями фасадов, построена в 1992, 18 июля 1992 в ней прошла первая служба, проводимая с тех пор ежегодно в этот день. Молящиеся во время службы находятся вне часовни.;Елисаветы Феодоровны Преподобномученицы;57.954031;61.702737
11828;Церковь Покрова Пресвятой Богородицы в Александровском;церковь;;нет данных;действ.;Свердловская обл., Красноуфимский р-н, с. Александровское;Кирпичная церковь, построенная в 1831 на средства помещиков Голубцовых. Однокупольное здание в стиле классицизма с трапезной и колокольней. Придел Варваринский. Закрыта в 1940, венчания сломаны. Использовалась как клуб. Передана верующим в конце 1990-х, вновь открыт в окт. 2000, регулярные богослужения раз в неделю.;"Покрова Пресвятой Богородицы; Варвары Великомученицы";56.714964;57.823813
21855;Церковь Рождества Христова в Алтынае;церковь;1854;нет данных;действ.;Свердловская обл., Сухоложский р-н, пос. Алтынай;Деревянная церковь, освящённая в 1854, была построена на основе сруба храма 1793, перевезённого из Курьинского. Второй престол Петра и Павла. Закрыта в 1932. Долгое время была занята клубом, перестроена, окончательно разобрана в 2000. В нач. XXI в. в посёлке образовалась православная община. В 2004 под новый храм переоборудован старый купеческий кирпичный дом Полковых. 9 дек. 2006 храм освящён, 22 авг. 2012 освящена отдельно стоящая звонница.;"Рождества Христова; Петра и Павла";57.062148;61.992928
31411;Церковь Иоанна Предтечи в Анохинском (деревянная);церковь;2017;нет данных;действ.;Свердловская обл., Ирбитский р-н, с. Анохинское, ул. Центральная;Деревянная однопрестольная церковь традиционной планировки с клетями на одной оси, с высокой двускатной крышей, звонницей над крыльцом, построена рядом с одноимённой старой церковью. Фундамент заложен и освящён в 2017, строительство завершено в 2019.;;57.201863;62.691851
31410;Церковь Иоанна Предтечи в Анохинском (каменная);церковь;не позже кон. 1880-х;нет данных;сохр.;Свердловская обл., Ирбитский р-н, с. Анохинское, ул. Центральная;Каменная однопрестольная церковь построена в 1898, изначально приписана к Стриганскому приходу. Двухсветный четверик с полукруглой апсидой алтаря соединен с трёхъярусной колокольней через небольшую трапезную и притвор. В нач. XX в. (ок. 1910?) открыт самостоятельный приход. Закрыта в 1930, заброшена, частично руинирована, фрагментарно сохранились внутренние росписи. В настоящее время возвращена епархии.;;57.201764;62.692409
31316;Церковь Троицы Живоначальной в Антоново;церковь;не позже 1795;нет данных;сохр.;Свердловская обл., Артёмовский р-н, с. Антоново, ул. Новая;Каменная трёхпрестольная Троицкая церковь с колокольней построена вместо прежней (1822) каменной Прокопиевской церкви с Богоявленским приделом, ставшей маловместительной. Освящена в 1889. Приделы в трапезной: Прокопиевский (прав., 1888) и Антониевский (лев.). Закрыта в 1930, частично разрушена. До настоящего времени сохранилась колокольня.;"Троицы Живоначальной; Прокопия Устюжского; Антония Леохновского";57.553971;62.326109
28523;Церковь Иконы Божией Матери Казанская в Арамашево;церковь;не позже нач. 1650-х;нет данных;действ.;Свердловская обл., Алапаевский р-н, с. Арамашево, ул. Пушкарева, 1;Каменная двухэтажная двухпрестольная церковь построена взамен сгоревшей деревянной. Четверик храма с пятигранной апсидой завершён восьмериком светового барабана и малыми главами по углам, небольшой трапезной соединен с притвором и колокольней над ним, с южной стороны устроен Архангельский придел. Закрыта в кон. 1920-х, колокольня разрушена. Возвращена верующим в 2005. Восстановлена в 2005-2011. Сооружена новая невысокая колокольня.;"Иконы Божией Матери Казанская; Михаила Архангела";57.608296;61.737643
28820;Церковь Петра и Павла в Арамашке;церковь;не позже 1880;нет данных;действ.;Свердловская обл., Режевский р-н, с. Арамашка, ул. Победы, 1;Самостоятельный приход открыт в 1882, каменная однопрестольная пятиглавая церковь с шатровой колокольней построена в 1880-1884. Закрыта в 1930-х, сломана. Настоящая церковь устроена в здании конторы, бывшем доме священника. 7 янв. 2001 проведена первая служба, в 2002 выстроена колокольня, позднее здание реконструировано. Четверик под вальмовой крышей, с пятигранной апсидой и двухъярусной шатровой колокольней над западным фасадом. Освящена великим чином 10 июля 2016.;Петра и Павла;57.526498;61.499845
21626;Церковь Троицы Живоначальной в Арамиле;церковь;рубеж XVII-XVIII вв.;нет данных;действ.;Свердловская обл., Сысертский р-н, г. Арамиль, ул. Карла Маркса, 2;Кирпичный храм в формах зрелого классицизма, выстроенный в 1830-1842. Однокупольная постройка с боковыми четырёхколонными портиками, двухпридельной трапезной и трёхъярусной колокольней под шпилем. Приделы Рождество-Богородицкий и Ильинский. В 1938 закрыт, колокольня сломана. Использовался как школа, позже - магазин. В 1990 возвращён верующим, отреставрирован.;"Троицы Живоначальной; Илии Пророка; Рождества Пресвятой Богородицы";56.700311;60.830337
27219;Церковь Владимира равноапостольного в Артёмовском;церковь;2012;2012-2016: Хаустов Б. Г.;действ.;Свердловская обл., г. Артёмовский, ул. Гагарина, 17;Каменный одноглавый однопрестольный храм в духе раннемосковского зодчества, заложен 28 июня 2012 по проекту арх. Б. Г. Хаустова, освящён 24 июля 2016. Построен на средства сестер Петровой и Станелевич в память о погибших родителях.;Владимира равноапостольного;57.345007;61.883642
28764;Церковь Георгия Победоносца в Егоршино;церковь;2009;нет данных;действ.;Свердловская обл., г. Артёмовский;Деревянная одноглавая однопрестрольная церковь, четверик под шатровой крышей, с боковыми прирубами, с обширной апсидой под вальмовой крышей и шатровой двухъярусной колокольней в связи. Построена на областном призывном пункте на средства Игоря Владимировича Трошина. Освящена 6 мая 2010.;Георгия Победоносца;57.341652;61.835276
27217;Церковь Иконы Божией Матери Умиление в Артёмовском;церковь;1999;нет данных;действ.;Свердловская обл., г. Артёмовский, ул. Мира, 20;Деревянная одноглавая однопрестольная шатровая церковь типа восьмерик на четверике, с трапезной под двухскатной закругленной крышей, увенчанной небольшой звонницей под крышей колпаком. Заложена а авг. 2000, освящена 2 июня 2005. До июля 2006 приписана к Ильинской церкви. 9 янв. 2016 сгорела, отстроена заново на том же фундаменте. 11 окт. 2018 на восстановленный храм установлены купола и кресты.;Иконы Божией Матери Умиление;57.343175;61.870266
27218;Церковь Илии Пророка в Артёмовском (новая);церковь;1988;нет данных;действ.;Свердловская обл., г. Артёмовский, ул. Фурманова, 1;Приход организован в 1988. Приходом куплено здание бывшей школы села Егоршинского, ныне в черте города, где устроена однопрестольная церковь, освященная 29 окт. 1989. Внешне выделена главкой и двухъярусной колокольней.;Илии Пророка;57.326320;61.919687
21918;Церковь Илии Пророка в Артях;церковь;1994;нет данных;действ.;Свердловская обл., Артинский р-н, пос. Арти, ул. Рабочей Молодежи, 42;Деревянный молитвенный дом, открытый в 1994. Одноэтажная постройка, надстроенная главкой, с колокольней.;Илии Пророка;56.420076;58.527145
21919;Церковь Николая II Царя-страстотерпца в Артях;церковь;2003;нет данных;действ.;Свердловская обл., Артинский р-н, пос. Арти, ул. Карла Маркса, 43;Деревянная церковь, сооружённая в 2003-2014. Четверик с пощипцовыми завершениями фасадов, завершённый пятиглавием, окружённый пониженными прирубами под двускатными кровлями.;Николая II Царя-страстотерпца;56.417995;58.528388
21920;Часовня Троицы Живоначальной в Артях;часовня;не позже XIX в.;нет данных;действ.;Свердловская обл., Артинский р-н, пос. Арти;Деревянная надкладезная часовня существовала еще до революции. В годы советской власти сломана. В 2002 построена новая деревянная часовня с шатровым куполом.;Троицы Живоначальной;56.426602;58.528420
21838;Церковь Владимира равноапостольного в Асбесте;церковь;1991;нет данных;действ.;Свердловская обл., адм. тер. Асбест, г. Асбест, ул. Ладыженского, 32;Кирпичная церковь, построенная в 1991-1995 и стилизующая формы зодчества рубежа XVIII-XIX вв. Двусветный четверик с полуглавиями, завершенный небольшой главкой, с трапезной и колокольней.;Владимира равноапостольного;57.007804;61.439507
21839;Церковь Иконы Божией Матери Умиление в Асбесте;церковь;1988;2002-2004: Акчурина Н. С.;действ.;Свердловская обл., адм. тер. Асбест, г. Асбест, ул. Луговая, 21;Молитвенный дом, сооруженный в 1988-1989. В 1994 закрыт, в 1998 вновь открыт, освящен во имя Богоматери Умиление. Отдельный храм сооружен в 2002-2004. Основной объем увенчан небольшим восьмериком с пятиглавием, над входом поставлена шатровая колокольня.;Иконы Божией Матери Умиление;57.026358;61.467685
29886;Церковь Успения Пресвятой Богородицы в Асбесте;церковь;2016;нет данных;действ.;Свердловская обл., г. Асбест, 101-й квартал;Деревянная церковь заложена в сент. 2016, четверик с прирубленными прямоугольными апсидой и притвором, завершённый восьмериком со звонницей с небольшой главкой. Строительство завершено в 2018.;Успения Пресвятой Богородицы;57.002034;61.528228
21902;Церковь Иконы Божией Матери Тихвинская в Атиге;церковь;2005;нет данных;действ.;Свердловская обл., Нижнесергинский р-н, пос. Атиг, ул. Карла Маркса, 26А;Деревянная церковь, построенная в 2005-2011. Четверик с пощипцовыми завершениями фасадов, увенчанный восьмериком с широким повалом, несущим шатер, с алтарём, притвором и высокой шатровой колокольней.;Иконы Божией Матери Тихвинская;56.685883;59.421513
21901;Церковь Иконы Божией Матери Тихвинская в Атиге (временная);церковь;нач. 1990-х;нет данных;сохр.;Свердловская обл., Нижнесергинский р-н, пос. Атиг, ул. Заводская, 2;Церковь устроена в нач. 1990-х в приспособленном кирпичном здании бывшего кинотеатра, надстроенном куполом. В 2009 внутренне убранство храма перенесли в новую деревянную церковь.;Иконы Божией Матери Тихвинская;56.692489;59.425303
31078;Церковь Афанасия и Кирилла, патриархов Александрийских, в Афанасьевском;церковь;;нет данных;действ.;Свердловская обл., Ачитский р-н, с. Афанасьевское;Деревянная однопрестольная церковь построена в 1856 тщанием прихожан. В 1935 запрещён звон, закрыта в 1941, вновь возвращена верующим в 1991. Восстанавливается. Вновь освящена 25 сент. 1991.;Афанасия и Кирилла, патриархов Александрийских;56.822744;58.281310
