id;name;type;foundation_date;architect;status;address;short_description;dedications;lat;lon
;;;;;;;;;;
28119;Церковь Преображения Господня в Абрамково;церковь;2013;нет данных;действ.;Тверская обл., Ржевский р-н, д. Абрамково;Решение о строительстве часовни близ чтимого источника принято в 2013, 18 окт. 2014 вместо часовни заложена церковь. Силами фермера Леонида Тимофеевича Зонтова выстроена деревянная одноглавая однопрестольная церковь, четверик под двухскатной крышей с пятиугольной апсидой. Барабан главы состоит из двух восьмериков. Продолжается внутреннее обустройство.;Преображения Господня;56.227489;34.312092
7347;Церковь Рождества Пресвятой Богородицы в Абрамово;церковь;2001;нет данных;действ.;Тверская обл., Кимрский р-н, д. Абрамово;Небольшая кирпичная церковь, построена по инициативе и на средства В. Лобзова как часовня на месте разрушенной в 1940 г. Богородицерождественской церкви. Первое богослужение прошло в 2008 г. Позднее расширена, пристроена небольшая трапезная, освящена как церковь. Приписана к Преображенскому собору в Кимрах.;Рождества Пресвятой Богородицы;56.884614;37.418961
18680;Церковь Иконы Божией Матери Смоленская в Алабузино;церковь;;1808-1816: Трофимов А. А.;сохр.;Тверская обл., Бежецкий р-н, с. Алабузино;"Кирпичная двухэтажная трёхпрестольная церковь, построена в стиле ампир по проекту архитектора А. А. Трофимова. Приделы в нижнем этаже: Ильинский и Казанский. Основной храм, алтарная часть и трапезная включены в единый прямоугольный объем, завершенный невысоким четвериком и куполом; небольшие главки установлены на трапезной и алтарной части. Северный и южный фасады основного храма выделены портиками. В советское время закрыта, разорена, сломаны завершения. В интерьере частично сохранилась настенная живопись, выполненная в 1840-х. Требуются срочные ремонтные работы.";"Иконы Божией Матери Смоленская; Иконы Божией Матери Казанская; Илии Пророка";57.837170;36.599139
18679;Церковь Троицы Живоначальной в Алабузино;церковь;;нет данных;сохр.;Тверская обл., Бежецкий р-н, с. Алабузино;Кирпичная трёхпрестольная церковь, построена на средства прихожан вместо прежней деревянной. Представляет собой пятиглавый бесстолпный трёхсветный четверик с небольшой трапезной, равной основному храму по ширине, и ярусной колокольней (построена в 1802-1804). В основном объёме приделы: Преображенский (правый) и Сергиевский (левый). Перестраивалась в 1870-х: переложен свод, перестроена алтарная часть, расширена трапезная и соединена притвором с колокольней, растесана часть окон. В советское время закрыта, разорена. В основном объёме устроены межэтажные перекрытия. Частично сохранилась внутренняя роспись (1873), являющаяся памятником архаичного направления бежецкой живописи. Требуются срочные противоаварийные работы.;"Троицы Живоначальной; Сергия Радонежского; Преображения Господня";57.836689;36.598882
32921;Церковь Покрова Пресвятой Богородицы в Алексеевском;церковь;не позже 1830-х;нет данных;сохр.;Тверская обл., Рамешковский р-н, с. Алексеевское;Каменная трёхпрестольная церковь построена в стиле классицизма, строительство окончено в 1842. Имела Никольский и Варваринский приделы в трапезной. К завершённому купольным световым барабаном с главой кубу основного объёма примыкают полукруглая апсида, боковые портики с колоннами дорического ордера и трапезная с трёхъярусной колокольней. Закрыта в сер. ХХ в., повреждена, ныне бесхозна. В интерьере сохранились фрагменты росписи.;"Покрова Пресвятой Богородицы; Николая Чудотворца; Варвары Великомученицы";57.426371;36.149279
27815;Церковь Александра Невского в Алексейково;церковь;1886;нет данных;действ.;Тверская обл., Лесной р-н, с. Алексеевское, д. 31;Каменная однопрестольная церковь построена в русском эклектичном стиле при усадьбе А. Ф. и Ф. А. Лодыгиных, освящена 11 сент. 1886. Представляет собой одноглавый двухсветный четверик с небольшой трапезной в одной связи с шатровой колокольней. Закрыта в 1937, использовалась как кинозал, позднее как склад. Возвращена верующим в 1990, начато восстановление.;Александра Невского;58.160291;35.429840
10690;Часовня Георгия Победоносца в Ананкино;часовня;;нет данных;сохр.;Тверская обл., Лихославльский окр., д. Ананкино;Деревянная часовня, восьмерик на четверике с открытым гульбищем. Была приписана к Скорбященской церкви в Залазино. В советское время закрыта, в здании располагался сельский магазин. В настоящее время заброшена, разрушается.;Георгия Победоносца;;
4758;Церковь Иова, патриарха Московского, и Тихона, патриарха Всероссийского;церковь;нач. 1990-х;нет данных;действ.;Тверская обл., г. Андреаполь. ул. Парковая;Однопрестольная деревянная церковь. Освящена 13 июня 1993, в 1996 пристроена колокольня.;"Тихона, патриарха Всероссийского; Иова, патриарха Московского";56.644241;32.276995
17026;Часовня Веры, Надежды, Любови и Софии в Андреаполе;часовня;;нет данных;действ.;Тверская обл., Андреапольский р-н, г. Андреаполь (новое кладбище);Деревянная часовня на новом городском кладбище Андреаполя, построена по инициативе и на средства к.т.н. А. Н. Мельникова (родом из д. Колотилово), и на благотворительные пожертвования. Представляет собой рубленный кубический объём под высокой четырёхскатной кровлей и с притвором на западной стороне.;Веры, Надежды, Любови и Софии;56.626630;32.276770
