id;name;type;foundation_date;architect;status;address;short_description;dedications;lat;lon
;;;;;;;;;;
15974;Церковь Михаила Архангела в Абакумлево;церковь;не позже XVI в.;нет данных;сохр.;Владимирская обл., Суздальский р-н, д. Абакумлево;Кирпичная зимняя церковь, построенная в 1758 на средства прихожан, монастырских крестьян. Четверик храма был перекрыт двускатной кровлей с главкой, с востока к нему примыкает алтарь, с запада трапезная с шатровой колокольней. К настоящему времени в аварийном состоянии, своды трапезной рухнули, колокольня сломана.;Михаила Архангела;56.404100;40.549400
15973;Церковь Троицы Живоначальной в Абакумлево;церковь;не позже XVI в.;нет данных;действ.;Владимирская обл., Суздальский р-н, д. Абакумлево;Кирпичная летняя церковь, построенная в 1778 на средства прихожан, экономических крестьян. Двусветный одноглавый одноапсидный четверик с декором в духе зодчества XVII в. и поясом мелких кокошников под карнизом. Закрыта не позже 1930-х, позже сломан притвор. В кон. 2000-х отремонтирована.;Троицы Живоначальной;56.403770;40.550000
32209;Часовня Довмонта Псковского на Аббакумовском кладбище;часовня;2023;нет данных;действ.;Владимирская обл., Петушинский р-н, ур. Аббакумовское кладб.;Кирпичная одноглавая часовня в духе владимирского зодчества, заложенная 22 июля 2023 в память военнослужащих, погибших на СВО. Строилась по инициативе супругов Шишлаковых, в 2022 потерявших сына Тимофея. Освящена 27 сент. 2024. Приписана к Крестовоздвиженскому приходу в Костерево.;Довмонта Псковского;55.916881;39.680795
28038;Часовня в Абросимово;часовня;;нет данных;сохр.;Владимирская обл., Камешковский р-н, д. Абросимово, у д. 4;Небольшой кирпичный часовенный столп с четырьмя нишами-киотами на гранях. Имеет четырёхскатное покрытие с маленькой луковичной главкой. Венчающий крест не сохранился.;;56.423053;41.065317
28039;Часовня Преображения Господня (?) в Абросимово;часовня;;нет данных;действ.;Владимирская обл., Камешковский р-н, д. Абросимово, у д. 40;Кирпичная часовня-столп, выделяющаяся оригинальным высоким яйцевидным восьмидольным покрытием с главкой. На каждой из четырёх граней постройки, имеющих килевидные завершения, расположены ниши-киоты. Отремонтирована ок. 1990, затем повторно в 2022.;Преображения Господня;56.422441;41.061664
9003;Часовня в Абросово;часовня;;нет данных;действ.;Владимирская обл., Петушинский р-н, д. Абросово;Деревянная часовня. Два убывающих четверика с имитацией щипцового завершения. В советское время закрыта, заброшена. В начале 2000-х восстановлена по инициативе и на средства жителей деревни. Освящена 2 августа 2013, приписана к Тихвинской церкви в Иваново.;;56.060915;39.248412
27984;Церковь Иконы Божией Матери Казанская в Акиньшино;церковь;не позже 1-й четв. XVII в.;нет данных;действ.;Владимирская обл., Вязниковский р-н, ур. Акиньшино (1,5 км СЗ д. Черноморье);Каменная двухпрестольная церковь построена в 1816-1818 вместо предшествующей деревянной (1730-е). В трапезной Покровский придел. Одноглавый восьмерик на четверике трапезной связан с трёхъярусной колокольней увенчанной шпилем. Закрыта в 1932, приспособлена под склад. Восстановлена в 2000-х, после образования в 2001 на базе храма Казанского скита Богоявленского Мстёрского мужского монастыря.;"Иконы Божией Матери Казанская; Покрова Пресвятой Богородицы";56.357235;41.865718
29751;Церковь Николая Чудотворца в Алачино;церковь;не позже нач. XVII в.;нет данных;действ.;Владимирская обл., Ковровский р-н, с. Алачино;Кирпичная церковь, сооружённая в 1807-1810 взамен ветхой деревянной усердием помещика Г. М. Бабкина в память о старшем брате Василии (1780-1807), погибшем в сражении с французами при Прейсиш-Эйлау. Однокупольный двусветный четверик с апсидой, трапезной и восьмигранной столпообразной колокольней с шатровым завершением, всё здание полностью лишено декора. Имелся тёплый придел Владимирской Богоматери. Закрыта в янв. 1941, разорена. Восстанавливается с нач. 2010-х, приписана к церкви Всех Святых в Мелехово.;"Николая Чудотворца; Иконы Божией Матери Владимирская";56.225387;41.161953
1259;Успенский Александровский женский монастырь;монастырь;1651;1752-1753: Алексеев Я. А. – реставрация;действ.;Владимирская обл., г. Александров, ул. Советская, 23-25;Основан в 1651 прп. Лукианом на территории бывшей великокняжеской, а затем царской резиденции Александрова Слобода. Пользовался покровительством царской семьи. Уцелели стены кон. XVII в. и келейные корпуса XVII-XIX вв. Закрыт в 1923, открыт в 1991. На части территории действует историко-архитектурный музей-заповедник.;;56.400600;38.740500
1260;Собор Троицы Живоначальной в Успенском Александровском монастыре;церковь;не позже 1513;;действ.;Владимирская обл., г. Александров, ул. Советская, 23-25;Построен Василием III. Также имеется версия о постройке собора в 3-й четв. XVI в. Одноглавый четырёхстолпный собор (по образцу Троицкого собора Троице-Сергиева монастыря) окружён галереями 3-й четв. XVII в., в которых помещены Симеоновский (справа, упразднен) и Сергиевский (слева) приделы. До реконструкции 1660-х - Покровский собор. Перестраивался в XIX в., отреставрирован в сер. ХХ в. Закрыт в 1920-х, вновь открыт в 1946.;"Троицы Живоначальной; Симеона Богоприимца; Сергия Радонежского";56.400530;38.739460
1261;Церковь Покрова Пресвятой Богородицы в Успенском Александровском монастыре;церковь;не позже 3-й четв. XVI в.;1509-1513: Алевиз Новый (?);сохр.;Владимирская обл., г. Александров, ул. Советская, 23-25;Небольшой бесстолпный шатровый храм на подклете. Имеется версия о его постройке в 1-й четв. XVI в. При реконструкции в 1680-х пристроены обширная трапезная и шатровая колокольня, храм из Троицкого переосвящён в Покровский. Закрыт в 1920-х, занят музейной экспозицией.;Покрова Пресвятой Богородицы;56.400960;38.740580
1263;Церковь Распятия Христова в Успенском Александровском монастыре;церковь;не позже 1-й трети XVI в.;1509-1513: Алевиз Новый (?);сохр.;Владимирская обл., г. Александров, ул. Советская, 23-25;"Первоначальная трёхъярусная восьмигранная церковь ""под колоколы"" обстроена галереей и надстроена ярусом звона под шатром в 1570-х. Храм размещён во 2-м ярусе, до кон. XVII в. Алексеевский. В настоящее время используется музеем.";Распятия Христова;56.400100;38.739860
1265;Церковь Сретения Господня в Успенском Александровском монастыре;церковь;ок. 1680;нет данных;действ.;Владимирская обл., г. Александров, ул. Советская, 23-25;Малый храм при монастырских больничных кельях. Под церковью склеп с могилами сводных сестер Петра I царевен Марфы и Феодосии. С 1994 нерегулярно проводятся богослужения.;Сретения Господня;56.400380;38.742060
1262;Церковь Успения Пресвятой Богородицы в Успенском Александровском монастыре;церковь;не позже 3-й четв. XVI в.;1754: Алексеев Я. А. – реставрация;сохр.;Владимирская обл., г. Александров, ул. Советская, 23-25;Бесстолпный храм на подклете, имеется версия о его постройке в 1-й четв. XVI в. При реконструкции в 1663-1667 разобраны боковые галереи, храм увенчан декоративным пятиглавием, пристроены боковые приделы (слева Никольский, справа Марии Египетской), выстроены трапезная и колокольня (в 1670-х). Закрыт в 1920-х, занят музейной экспозицией.;"Успения Пресвятой Богородицы; Марии Египетской; Николая Чудотворца";56.400060;38.741900
1264;Церковь Феодора Стратилата в Успенском Александровском монастыре;церковь;1682;нет данных;действ.;Владимирская обл., г. Александров, ул. Советская, 23-25;Небольшой храм над Святыми воротами монастыря, выстроенный на средства царя Феодора Алексеевича. С 1992 нерегулярно проводятся богослужения.;Феодора Стратилата;56.400230;38.738400
1266;Часовня надкладезная в Успенском Александровском монастыре;часовня;XVIII в.;нет данных;сохр.;Владимирская обл., г. Александров, ул. Советская, 23-25;Небольшая восьмигранная постройка под куполообразной кровлей над колодцем. Принадлежит музею-заповеднику.;;56.400260;38.741000
1253;Собор Рождества Христова в Александрове;церковь;не позже XVI в.;;действ.;Владимирская обл., Александровский р-н, г. Александров, Советский пер., 11;Небольшой храм был капитально перестроен в псевдорусском стиле в 1847 на средства купца И. Баранова. В трапезной Никольский и Михаило-Архангельский приделы. Колокольня 1825 не сохранилась. Закрыт в 1929, открыт в 1990, реставрируется.;"Рождества Христова; Михаила Архангела; Николая Чудотворца";56.396100;38.728700
1254;Церковь Иконы Божией Матери Боголюбская в Александрове;церковь;1800;нет данных;действ.;Владимирская обл., г. Александров, Красный пер., 2;Типовая церковь в стиле классицизма на городском кладбище. В 1829 пристроены приделы Феодора Стратилата и вмч. Варвары. Закрыта в 1930-х, занята складом, кладбище срыто. Открыта в нач. 1990-х, отреставрирована.;"Иконы Божией Матери Боголюбская; Варвары Великомученицы; Феодора Стратилата";56.393570;38.716400
30206;Церковь Пантелеимона Целителя в Александрове;церковь;2009;нет данных;действ.;Владимирская обл., г. Александров, ул. Восстания 1905 года, больничный городок;Кирпичная одноглавая однопрестольная церковь, четверик под четырёхлепестковым куполом, со звонницей у южного фасада. Заложена в июне 2009, освящена великим чином 25 мая 2019.;Пантелеимона Целителя;56.401756;38.717717
1255;Церковь Преображения Господня в Александрове;церковь;не позже 2-й пол. XVI в.;нет данных;действ.;Владимирская обл., г. Александров, ул. Садово-Огородная, 2А;Церковь типа восьмерик на четверике в духе барокко. В пристроенной в 1804 трапезной приделы Захария и Елизаветы (до 1804 в главном храме) и Богоявления Господня. Закрыта в 1930-х, колокольня сломана. Занята реставрационным участком. В 2010 возвращена приходу. Восстанавливается. Богослужения регулярные.;"Преображения Господня; Богоявления Господня; Захарии и Елисаветы";56.401600;38.738200
1256;Церковь Серафима Саровского в Александрове;церковь;1904;нет данных;действ.;Владимирская обл., Александровский р-н, г. Александров, ул. Вокзальная, 8;Церковь в псевдорусском стиле выстроена на месте построенной в 1898 часовни Успенского Александровского монастыря. После закрытия капитально перестроена, занята столовой. В 2000-х отреставрирована.;Серафима Саровского;56.398260;38.705700
14415;Часовня Николая Чудотворца в Александрове (тюремная);часовня;2007;нет данных;действ.;Владимирская обл., г. Александров, ул. Ленина, 81;Часовня в корпусе следственного изолятора ИЗ-33/2. Устроена в 2007-2008, внешне выделена куполом.;Николая Чудотворца;56.398480;38.727510
24275;Церковь Рождества Пресвятой Богородицы в Александрово;церковь;1-я треть XVII в.;нет данных;действ.;Владимирская обл., Судогодский р-н, с. Александрово;Кирпичная церковь с декором в стиле классицизма. Построена в 1794-1799, в 1826 расширена боковыми приделами, декор изменен в формах классицизма. Основной объем - четверик, завершенный декоративным пятиглавием, с поясом кокошников под карнизом, трапезной соединенный с колокольней. Боковые приделы Илии Пророка и Спаса Нерукотворного, в трапезной - Александро-Невский и Димитриево-Солунский. Закрыта в кон. 1930-х. Находится в аварийном состоянии, часть сводов, включая свод четверика, рухнула. С 2011 периодически проводятся молебны. В 2012-2015 полностью отреставрирована колокольня, в которой проводятся регулярные богослужения. Церковь приписана к Сергиевскому храму в Бараках.;"Рождества Пресвятой Богородицы; Димитрия Солунского; Илии Пророка; Спаса Нерукотворного Образа; Александра Невского";55.937104;40.619039
21974;Церковь Николая Чудотворца в Алексино;церковь;не позже 1-й трети XVII в.;нет данных;сохр.;Владимирская обл., Петушинский р-н, д. Алексино;Кирпичная церковь с трапезной и колокольней, построенная в 1827-1832 в формах традиционного зодчества. Трехсветный четверик, завершенный декоративным пятиглавием, с трапезной и трехъярусной колокольней. В трапезной Михаило-Архангельский и Казанский приделы. Закрыта не позже 1930-х, к 1980-м заброшена. Восстанавливается с нач. 2010-х. Приписана к Афанасьевскому храму в Петушках.;"Николая Чудотворца; Иконы Божией Матери Казанская; Михаила Архангела";56.122880;39.655840
13773;Церковь Введения Пресвятой Богородицы во Храм в Алексино;церковь;не позже XIV в.;нет данных;сохр.;Владимирская обл., Кольчугинский р-н, с. Алексино;Кирпичная тёплая церковь, построенная в 1872-1875 в русско-византийском стиле. Односветный двустолпный храм, кубический в плане, завершавшийся декоративным пятиглавием, с невысокой колокольней. Боковые приделы Никольский и Казанский. Закрыта не позже 1930-х, венчания сломаны. Заброшена.;"Введения Пресвятой Богородицы во Храм; Николая Чудотворца; Иконы Божией Матери Казанская";56.409200;39.341300
22003;Церковь Покрова Пресвятой Богородицы в Алепино;церковь;не позже XV в.;нет данных;сохр.;Владимирская обл., Собинский р-н, с. Алепино;Кирпичная церковь в формах позднего классицизма, построенная в 1850. Однокупольный храм приземистых пропорций с трапезной, в которой помещались Космодамианский и Предтеченский приделы, и трехъярусной колокольней. Закрыта в 1930-х. В целом находится в удовлетворительном состоянии, но для регулярных богослужений не используется. В 2022 разработан план восстановления храма.;"Покрова Пресвятой Богородицы; Иоанна Предтечи; Космы и Дамиана";56.220570;39.801980
14838;Церковь Рождества Иоанна Предтечи в Алешунино;церковь;;нет данных;действ.;Владимирская обл., Муромский р-н, д. Алешунино, ул. Школьная;Небольшая деревянная одноглавая клетская церковь с прямоугольными алтарём и притвором. Освящена 12.06.2009 архиеп. Владимирским Евлогием.;Рождества Иоанна Предтечи;55.826100;42.334000
6779;Церковь Андрея Первозванного на Андреевском Погосте;церковь;не позже XVI в.;нет данных;действ.;Владимирская обл., Киржачский р-н, ур. Андреевский Погост (3 км ЮЗ д. Новоселово);Кирпичная церковь, построенная в 1825 в стиле классицизма. Двусветный четверик с узкими боковыми портиками, увенчанный невысокой ротондой, с двухпридельной трапезной и трёхъярусной колокольней. В трапезной были Никольский и Мироносицкий приделы. Закрыта не позже 1930-х, в 1970-х частично отремонтирована. В 2000-х возвращена верующим, ремонтируется.;"Андрея Первозванного; Жен Мироносиц; Николая Чудотворца";56.049000;39.019700
26102;Часовня Георгия Победоносца на месте гибели Гагарина;часовня;2017;2017-2018: Ржевский В. Н.;действ.;Владимирская обл., Киржачский р-н, 800 м ЮВ ур. Андреевский Погост;Каменная крестообразная в плане одноглавая шатровая часовня, построенная в 2017-2018 в составе нового мемориального комплекса на месте гибели Ю. А. Гагарина и В. С. Серегина, на средства семьи В. С. Серегина и летчика-космонавта А. А. Леонова. Освящена 27 марта 2018.;Георгия Победоносца;56.046288;39.026033
13893;Церковь Андрея Первозванного в Андреевском;церковь;1703;1772-1779: Берк Н. П. – строительство по собств. проекту;действ.;Владимирская обл., Петушинский р-н, с. Андреевское;Домовая церковь при усадьбе Воронцовых, построенная в 1772-1779 на средства Р. И. Воронцова. Двусветный пятиглавый четверик с небольшой трапезной, в которой помещался Борисоглебский придел, и двухъярусной колокольней под шпилем. Декор в духе раннего классицизма. В XIX в. была приписана к храму в Рощино. Закрыта не позже 1930-х, сломана колокольня, использовалась как гараж. В 1990-х возвращена верующим, отреставрирована.;"Андрея Первозванного; Бориса и Глеба";56.028980;39.647970
25861;Часовня Михаила Архангела в Андреевском;часовня;ок. 2007;нет данных;действ.;Владимирская обл., Юрьев-Польский р-н, с. Андреевское;Деревянная входная часовня типа восьмерик на четверике, на каменном фундаменте.;Михаила Архангела;56.374194;40.037312
29196;Часовня в Андрейцево;часовня;XIX в. (?);нет данных;действ.;Владимирская обл., Камешковский р-н, д. Андрейцево;Оштукатуренная кирпичная часовня-столп, стоящая на небольшой площади в центре деревни. Квадратная в плане постройка, завершающаяся четырьмя мощными килевидными кокошниками и имеющая восьмискатное покрытие, увенчанное крестом вместо главки. До революции принадлежала Троицкой церкви Омутец-Пестьянского погоста. Поддерживается в порядке, во всех четырёх киотах на гранях размещены иконы.;;56.233085;40.856672
21975;Церковь Михаила Архангела в Анкудиново;церковь;1867;нет данных;сохр.;Владимирская обл., Петушинский р-н, д. Анкудиново;Кирпичная церковь в формах эклектики, построенная в 1867 на средства купца Г. Белова на месте, где по преданию в старину существовал храм. Была приписана к церкви в Алексино. Четверик со срезанными углами, перекрытый куполом, с прямоугольным алтарем и трапезной. Закрыта не позже 1930-х. В 1997 возвращена верующим, ремонтируется.;Михаила Архангела;56.077900;39.583130
