id;name;type;foundation_date;architect;status;address;short_description;dedications;lat;lon
;;;;;;;;;;
10643;Церковь Илии Пророка на Шухтовском погосте;церковь;не позже 1780-х;нет данных;действ.;Вологодская обл., Череповецкий р-н, с. Абаканово;Каменная однопрестольная церковь, построена в русском эклектичном стиле вместо прежней деревянной Ильинской церкви, пришедшей в ветхость. В конце 1930-х закрыта,использовалась под клуб и склад. Сломаны завершения, утрачена колокольня. В 1992 церковь возвращена верующим, начато восстановление.;Илии Пророка;;
19074;Церковь Покрова Пресвятой Богородицы в Аксеново;церковь;;нет данных;действ.;Вологодская обл., Кирилловский р-н, д. Аксеново;Кирпичная церковь с декором в духе позднего барокко, построенная в 1782. Двусветный четверик с полуглавиями, перекрытый купольным сводом с главкой, двухпридельной трапезной связанный с колокольней под шпилем. Приделы Флоро-Лаврский и Никольский. В 1939 закрыта, но в 1943 возвращена верующим и более не закрывалась.;"Покрова Пресвятой Богородицы; Флора и Лавра; Николая Чудотворца";59.836231;38.424232
9534;Церковь Троицы Живоначальной на Андомском Погосте;церковь;не позже XVI в.;нет данных;сохр.;Вологодская обл., Вытегорский р-н, с. Андомский Погост;;Троицы Живоначальной;61.249582;36.639072
12073;;;;;;;;;;
9471;Церковь Воскресения Христова в Андреевском;церковь;;нет данных;сохр.;Вологодская обл., Бабушкинский р-н, д. Андреевское;Кирпичная двухэтажная четырёхпрестольная церковь в одной связи с колокольней, построена на средства прихожан. Второй этаж с престолом Воскресения Христова надстроен в 1830 на средства приходского сборщика крестьянина Даниила Шумилова. Приделы: Никольский, Георгиевский и Покровский. В советский период закрыта, первый этаж храма занимала МТС, на втором этаже был склад зерна. Колокольня сломана в конце 1950-х, тогда же и храм частично разобрали на кирпич.;"Воскресения Христова; Николая Чудотворца; Покрова Пресвятой Богородицы; Георгия Победоносца";59.750201;44.198470
21691;Церковь Иоанна Богослова в Анисимово;церковь;;нет данных;сохр.;Вологодская обл., Чагодощенский р-н, д. Анисимово;Деревянная однопрестольная Иоанно-Богословская церковь построена в 1850 году на месте старинной часовни. Была домовым храмом дворянской семьи Позен и приписана к Богоявленской Смердомльской церкви. С запада в храм вело крытое крыльцо-тамбур, над которым на четвериковом основании размещалась звонница завершенная невысоким шатром с главкой. Храм закрыт в 1930-х, звонница сломана, помещение использовалось под сельский клуб, школьный спортзал. В настоящее время восстановливается.;Иоанна Богослова;59.174608;35.123411
8897;;;;;;;;;;
5023;Церковь Спаса Нерукотворного Образа на Вытегорском погосте;церковь;не позже конца XV в.;нет данных;сохр.;Вологодская обл., Вытегорский р-н, с. Анхимово;Каменная трёхпрестольная церковь с отдельно стоящей колокольней. Приделы Казанский и Никольский. Построена а 1780 вместо старой деревянной тёплой Никольской церкви. В советское время закрыта, сейчас находится в тяжёлом состоянии.;"Спаса Нерукотворного Образа; Иконы Божией Матери Казанская; Николая Чудотворца; Спаса Нерукотворного Образа";60.951109;36.511403
9468;Церковь Георгия Победоносца в Аргуново;церковь;;нет данных;действ.;Вологодская обл., Никольский р-н, д. Аргуново;Каменная двухэтажная церковь, построена на месте одноименной обветшавшей деревянной. В настоящее время является действующей.;Георгия Победоносца;;
