id;name;type;foundation_date;architect;status;address;short_description;dedications;lat;lon
;;;;;;;;;;
15334;Часовня Всех Святых Ростово-Ярославских на 113-м км Ярославского шоссе;часовня;;нет данных;действ.;Ярославская обл., Переславский р-н, 113-й км Ярославского ш. (у д. Василево);"Кирпичная кубическая ""входная"" часовня с шатровой кровлей, украшенная богатым декором. Построена в 2008 на 113-м км старого Ярославского шоссе, на границе Владимирской и Ярославской областей.";;56.544179;38.540129
8477;Церковь Благовещения Пресвятой Богородицы в Аббакумцево;церковь;;нет данных;действ.;Ярославская обл., Некрасовский р-н, с. Аббакумцево;Кирпичная церковь, построенная в 1791 в духе традиционного зодчества, позже расширенная. Пятиглавый четверик с боковыми приделами, трапезной и высокой колокольней в духе классицизма, построенной в 1800. Приделы Михаило-Архангельский и Петропавловский. Не закрывалась.;"Благовещения Пресвятой Богородицы; Петра и Павла; Михаила Архангела";57.717849;40.154846
8478;Церковь Сретения Господня в Аббакумцево;церковь;;нет данных;действ.;Ярославская обл., Некрасовский р-н, с. Аббакумцево;Зимний храм аббакумцевского прихода, пристроенный в 1862 с севера к Благовещенскому. Сравнительно небольшая кирпичная однокупольная постройка в духе позднего классицизма. Не закрывался, купол в настоящее время демонтирован.;Сретения Господня;57.717964;40.154794
16434;Часовня в Аббакумцево;часовня;;нет данных;действ.;Ярославская обл., Некрасовский р-н, с. Аббакумцево;Кирпичная одноглавая часовня в псевдорусском стиле в северо-восточном углу церковного участка. Построена в 1902. Заперта, поддерживается в порядке.;;57.718075;40.155520
28726;Церковь Илии Пророка в Аксенково;церковь;2017;нет данных;действ.;Ярославская обл., Ростовский р-н, д. Аксёнково;Одноглавая однопрестольная церковь, четверик под двухскатной крышей, построенная в д. Аксёнково в память стоявшей на этом месте часовни. Приписана к Казанской церкви в с. Караш.;Илии Пророка;56.926459;39.437572
16942;Церковь Троицы Живоначальной в Александровой пустыни;церковь;не позже конца XVI в.;нет данных;сохр.;Ярославская обл., Рыбинский р-н, д. Александрова пустынь;Кирпичный храм, выстроенный помещиком В. Мотовиловым (+1678) в 3-й четв. XVII в. как монастырский собор, оригинальный по объемной композиции. Основной объем - двусветный четверик, вытянутый вдоль поперечной оси, почти лишенный декора и завершавшийся тремя небольшими шатриками, поставленными в ряд. С востока к нему примыкал трехчастный алтарь, с запада небольшая двустолпная трапезная, к северо-западному углу которой примыкала шатровая колокольня. Строился как двухпрестольный (с приделом Собора Михаила Архангела). В 1730 к трапезной с севера пристроен Шуйский придел, в 1744 в главном храме устроен придел Онуфрия (перенесен престол из разобранной деревянной Онуфриевской церкви). В 1764 пустынь упразднена с обращением церкви в приходскую. В 1896-1898 реставрировалась. Закрыта в 1930, разорена, сломаны колокольня, алтари, трапезная. В 2007 обрушились шатры основного объёма.;"Троицы Живоначальной; Иконы Божией Матери Шуйская-Смоленская; Онуфрия Великого; Собора Михаила Архангела";57.855598;38.997104
15535;Церковь Вознесения Господня в Алексейцево;церковь;;нет данных;сохр.;Ярославская обл., Тутаевский р-н, с. Алексейцево;Кирпичная двухпрестольная церковь с тёплым Знаменским приделом, построена на средства майора А. Горохова и прихожан. Представляет собой одноглавый восьмерик на четверике, трапезная в одной связи с ярусной колокольней. В советское время закрыта, использовала как склад. Частично сохранились внутренние росписи. Ныне заброшена.;"Вознесения Господня; Иконы Божией Матери Знамение";57.685166;39.455889
3934;Церковь Покрова Пресвятой Богородицы в Алексине;церковь;не позже сер. XVII в.;нет данных;действ.;Ярославская обл., Переславский р-н, с. Алексино;Первая деревянная церковь в Алексине построена в 1671 на средства помещицы Стефаниды Семеновны Морозовой. В 1826 на средства прихожан возведена нынешняя каменная церковь. Основной объём храма представляет собой высокий четверик с пятью куполами, через трапезную соединенный с ярусной колокольней. В церкви два придела: Троицкий и Дмитровский.;"Покрова Пресвятой Богородицы; Троицы Живоначальной; Димитрия, митрополита Ростовского";56.665027;39.141771
6366;Церковь Покрова Пресвятой Богородицы в Алёшково;церковь;;нет данных;сохр.;Ярославская обл., Ростовский р-н., с. Алешково;Кирпичная одноглавая церковь постройки 1807. Имела придел Архистратига Михаила и прочих Сил Бесплотных. Закрыта в 1937, колокольня утрачена, трапезная руинирована.;"Покрова Пресвятой Богородицы; Михаила Архангела";57.122858;39.174124
